phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta
Genitourinary,phecode_614-55,Candidiasis of vulva and vagina,"0.755 (0.747, 0.762)","0.758 (0.751, 0.765)","0.003 (-0.004, 0.01)"
Neoplasms,phecode_103-3,Carcinoma in situ of skin,"0.714 (0.697, 0.728)","0.717 (0.7, 0.731)","0.003 (-0.001, 0.008)"
GI,phecode_522-7,Ulceration of the lower GI tract,"0.53 (0.5, 0.562)","0.534 (0.503, 0.56)","0.003 (-0.026, 0.027)"
GI,phecode_523,Diverticular disease [Bowel diverticulosis],"0.622 (0.617, 0.627)","0.625 (0.62, 0.631)","0.003 (0.001, 0.005)"
Cardio,phecode_413-32,Tricuspid value insufficiency*,"0.714 (0.69, 0.74)","0.718 (0.697, 0.751)","0.003 (-0.016, 0.032)"
GI,phecode_511,Gastro-esophageal reflux disease,"0.544 (0.539, 0.55)","0.548 (0.544, 0.553)","0.004 (0, 0.006)"
Cardio,phecode_403,Angina pectoris,"0.664 (0.655, 0.672)","0.668 (0.66, 0.675)","0.004 (-0.001, 0.009)"
Mental,phecode_286-2,Major depressive disorder,"0.563 (0.558, 0.569)","0.567 (0.561, 0.574)","0.004 (-0.001, 0.007)"
GI,phecode_557,Gastrointestinal hemorrhage,"0.529 (0.523, 0.537)","0.533 (0.527, 0.539)","0.004 (-0.002, 0.009)"
Genitourinary,phecode_581-11,Acute pyelonephritis,"0.569 (0.544, 0.596)","0.571 (0.547, 0.603)","0.004 (-0.017, 0.026)"
Eye,phecode_362-5,Cysts of eyelid,"0.51 (0.482, 0.538)","0.513 (0.478, 0.543)","0.004 (-0.024, 0.028)"
Derm,phecode_679-1,Rash and other nonspecific skin eruption,"0.519 (0.515, 0.524)","0.523 (0.518, 0.527)","0.004 (0, 0.007)"
Signs/Symptoms,phecode_841-1,Allergy to other anti-infective agents,"0.593 (0.587, 0.599)","0.598 (0.592, 0.603)","0.004 (0, 0.008)"
Cardio,phecode_404-1,Myocardial infarction [Heart attack],"0.707 (0.698, 0.718)","0.71 (0.701, 0.722)","0.004 (-0.002, 0.009)"
Hearing,phecode_391-12,Chronic otitis media,"0.467 (0.445, 0.487)","0.472 (0.447, 0.498)","0.004 (-0.017, 0.027)"
Neuro,phecode_349,Disorder of nervous system,"0.601 (0.586, 0.616)","0.605 (0.591, 0.623)","0.004 (-0.005, 0.017)"
Neoplasms,phecode_103-2,Keratinocyte carcinoma,"0.644 (0.634, 0.654)","0.648 (0.639, 0.659)","0.004 (0, 0.007)"
Mental,phecode_308,Signs and symptoms involving emotional state,"0.561 (0.554, 0.566)","0.564 (0.557, 0.57)","0.004 (-0.002, 0.009)"
Hearing,phecode_391,Disorders of the middle ear,"0.507 (0.5, 0.512)","0.51 (0.503, 0.517)","0.004 (-0.001, 0.009)"
Neoplasms,phecode_103-21,Basal cell carcinoma,"0.634 (0.624, 0.643)","0.638 (0.628, 0.647)","0.004 (0.001, 0.008)"
Derm,phecode_668,Dermatitis [eczema],"0.535 (0.53, 0.542)","0.539 (0.535, 0.546)","0.004 (0, 0.008)"
GI,phecode_512,Dysphagia,"0.567 (0.557, 0.575)","0.571 (0.562, 0.581)","0.004 (-0.002, 0.011)"
Musc/Skel,phecode_718-3,Mid back pain,"0.572 (0.552, 0.587)","0.576 (0.554, 0.592)","0.004 (-0.006, 0.015)"
Cardio,phecode_414,Cardiomyopathy,"0.658 (0.64, 0.676)","0.663 (0.645, 0.682)","0.004 (-0.008, 0.017)"
Derm,phecode_668-4,Dermatitis due to substances taken internally,"0.543 (0.515, 0.579)","0.549 (0.522, 0.596)","0.004 (-0.032, 0.046)"
Musc/Skel,phecode_724-5,Exostosis,"0.553 (0.54, 0.569)","0.557 (0.542, 0.571)","0.004 (-0.007, 0.02)"
Neoplasms,phecode_136,Benign neoplasm of the digestive organs,"0.585 (0.579, 0.591)","0.589 (0.583, 0.595)","0.004 (0.002, 0.007)"
Genitourinary,phecode_605-1,Male erectile dysfunction,"0.558 (0.551, 0.565)","0.562 (0.556, 0.57)","0.004 (-0.001, 0.009)"
Neuro,phecode_334-1,Trigeminal nerve disorders [CN5],"0.582 (0.561, 0.6)","0.588 (0.563, 0.602)","0.004 (-0.008, 0.016)"
Resp,phecode_480,Pulmonary edema,"0.703 (0.668, 0.736)","0.707 (0.674, 0.741)","0.004 (-0.018, 0.022)"
GI,phecode_529-5,Constipation,"0.608 (0.601, 0.613)","0.611 (0.604, 0.617)","0.004 (0, 0.007)"
Cardio,phecode_446,Hypotension,"0.662 (0.653, 0.673)","0.667 (0.658, 0.677)","0.004 (-0.002, 0.011)"
Signs/Symptoms,phecode_840-1,Food allergy,"0.532 (0.514, 0.561)","0.537 (0.517, 0.558)","0.004 (-0.014, 0.021)"
GI,phecode_556,Other symptoms involving the digestive system and abdomen,"0.547 (0.539, 0.555)","0.551 (0.544, 0.56)","0.004 (-0.002, 0.009)"
Musc/Skel,phecode_703-11,Gout,"0.706 (0.697, 0.714)","0.71 (0.701, 0.719)","0.004 (0.001, 0.009)"
Musc/Skel,phecode_711,Disorder of patella,"0.52 (0.51, 0.531)","0.524 (0.516, 0.535)","0.004 (-0.008, 0.013)"
Cardio,phecode_424,Heart failure,"0.736 (0.73, 0.745)","0.741 (0.734, 0.748)","0.004 (-0.001, 0.01)"
Cardio,phecode_446-2,Orthostatic hypotension,"0.69 (0.678, 0.704)","0.694 (0.684, 0.707)","0.004 (-0.004, 0.012)"
ID,phecode_092,"Bacteremia, Sepsis, and SIRS","0.666 (0.655, 0.677)","0.67 (0.658, 0.679)","0.004 (-0.004, 0.01)"
Neuro,phecode_330,"Epilepsy, recurrent seizures, convulsions","0.574 (0.558, 0.596)","0.579 (0.562, 0.6)","0.004 (-0.013, 0.017)"
Derm,phecode_682-11,Sebaceous cyst [Epidermal cyst],"0.495 (0.485, 0.504)","0.5 (0.49, 0.508)","0.004 (-0.007, 0.016)"
Genitourinary,phecode_605,Male sexual dysfuction,"0.558 (0.55, 0.564)","0.563 (0.554, 0.57)","0.004 (0, 0.009)"
ID,phecode_092-2,Sepsis,"0.666 (0.651, 0.676)","0.669 (0.656, 0.681)","0.004 (-0.004, 0.011)"
Mental,phecode_288-2,Panic disorder [episodic paroxysmal anxiety],"0.568 (0.547, 0.595)","0.574 (0.555, 0.589)","0.004 (-0.012, 0.021)"
Mental,phecode_288-3,Generalized anxiety disorder,"0.583 (0.569, 0.597)","0.587 (0.575, 0.6)","0.004 (-0.003, 0.011)"
Derm,phecode_676-2,Scar conditions and fibrosis of skin,"0.535 (0.512, 0.558)","0.54 (0.518, 0.563)","0.005 (-0.013, 0.028)"
GI,phecode_527,Abdominal pain,"0.545 (0.54, 0.55)","0.55 (0.545, 0.555)","0.005 (0.002, 0.007)"
Mental,phecode_284,Suicide ideation and attempt or self harm,"0.601 (0.58, 0.618)","0.606 (0.586, 0.621)","0.005 (-0.008, 0.017)"
Derm,phecode_682-12,Pilar and trichodermal cyst,"0.498 (0.488, 0.507)","0.503 (0.494, 0.513)","0.005 (-0.008, 0.016)"
Metab,phecode_230-2,Abnormal loss of weight and underweight,"0.605 (0.598, 0.615)","0.61 (0.603, 0.619)","0.005 (-0.001, 0.01)"
Neuro,phecode_350,Other symptoms involving nervous system,"0.609 (0.601, 0.615)","0.614 (0.605, 0.62)","0.005 (-0.001, 0.01)"
Musc/Skel,phecode_700,Diffuse diseases of connective tissue,"0.634 (0.619, 0.652)","0.641 (0.621, 0.66)","0.005 (-0.007, 0.021)"
Metab,phecode_230-21,Abnormal weight loss,"0.611 (0.601, 0.621)","0.616 (0.608, 0.627)","0.005 (0, 0.011)"
Genitourinary,phecode_581,Renal tubulo-interstitial diseases,"0.548 (0.532, 0.564)","0.551 (0.538, 0.565)","0.005 (-0.012, 0.016)"
Signs/Symptoms,phecode_819,General symptoms and other findings,"0.579 (0.574, 0.584)","0.584 (0.579, 0.589)","0.005 (0.002, 0.008)"
Signs/Symptoms,phecode_830,Proteinuria,"0.51 (0.505, 0.516)","0.515 (0.509, 0.519)","0.005 (0.002, 0.008)"
GI,phecode_526-1,Bacterial enteritis,"0.519 (0.506, 0.533)","0.522 (0.507, 0.54)","0.005 (-0.008, 0.018)"
Musc/Skel,phecode_703-1,Hyperuricemia,"0.7 (0.693, 0.709)","0.706 (0.696, 0.715)","0.005 (0.002, 0.008)"
Resp,phecode_471,Other disorders of nose and nasal sinuses,"0.504 (0.497, 0.512)","0.509 (0.5, 0.516)","0.005 (-0.003, 0.012)"
GI,phecode_514-2,Intestinal obstruction,"0.619 (0.604, 0.632)","0.624 (0.608, 0.64)","0.005 (-0.008, 0.017)"
Musc/Skel,phecode_721-1,Synovitis and tenosynovitis,"0.538 (0.533, 0.544)","0.544 (0.537, 0.55)","0.005 (0, 0.01)"
Resp,phecode_491,Pleurisy,"0.613 (0.59, 0.635)","0.617 (0.599, 0.635)","0.005 (-0.006, 0.018)"
Neoplasms,phecode_135,Benign neoplasm of the head and neck,"0.556 (0.538, 0.575)","0.562 (0.544, 0.578)","0.005 (-0.008, 0.022)"
Genitourinary,phecode_603,Disorders and symptoms of testis,"0.507 (0.496, 0.522)","0.514 (0.499, 0.527)","0.005 (-0.003, 0.014)"
GI,phecode_526-12,Intestinal infection due to C. difficile,"0.643 (0.617, 0.669)","0.65 (0.618, 0.681)","0.005 (-0.022, 0.041)"
GI,phecode_526,Intestinal infection,"0.567 (0.56, 0.574)","0.573 (0.566, 0.579)","0.005 (-0.001, 0.011)"
GI,phecode_556-8,Nonspecific abnormal findings in stool contents,"0.544 (0.534, 0.552)","0.549 (0.539, 0.556)","0.005 (-0.001, 0.01)"
GI,phecode_525,Intestinal malabsorption,"0.516 (0.492, 0.533)","0.521 (0.499, 0.539)","0.005 (-0.011, 0.022)"
Musc/Skel,phecode_708-15,"Primary osteoarthritis of the wrist, forearm","0.629 (0.591, 0.659)","0.635 (0.593, 0.664)","0.005 (-0.014, 0.025)"
Cardio,phecode_426,Other heart disorders in diseases NEC,"0.7 (0.689, 0.712)","0.705 (0.695, 0.717)","0.006 (-0.003, 0.014)"
Cardio,phecode_431-1,Stroke,"0.694 (0.683, 0.707)","0.7 (0.691, 0.711)","0.006 (-0.002, 0.013)"
Metab,phecode_230,Malnutrition and underweight,"0.601 (0.592, 0.608)","0.606 (0.598, 0.613)","0.006 (-0.001, 0.012)"
ID,phecode_089,Infections,"0.519 (0.515, 0.523)","0.525 (0.521, 0.529)","0.006 (0.002, 0.01)"
Signs/Symptoms,phecode_841,Drug and medical agent allergy,"0.592 (0.587, 0.597)","0.597 (0.593, 0.603)","0.006 (0.003, 0.009)"
Cardio,phecode_420,Cardiac arrest,"0.73 (0.71, 0.75)","0.734 (0.717, 0.759)","0.006 (-0.009, 0.021)"
Neoplasms,phecode_136-41,Benign neoplasm of the colon,"0.599 (0.593, 0.604)","0.604 (0.598, 0.61)","0.006 (0.001, 0.009)"
Resp,phecode_463,Rhinitis and nasal congestion,"0.519 (0.514, 0.525)","0.525 (0.519, 0.531)","0.006 (0.001, 0.011)"
Musc/Skel,phecode_715-3,Spondylolisthesis,"0.658 (0.641, 0.675)","0.665 (0.645, 0.68)","0.006 (-0.007, 0.016)"
Neoplasms,phecode_136-4,"Benign neoplasm of colon, rectum, anus and anal canal","0.586 (0.579, 0.592)","0.592 (0.587, 0.597)","0.006 (0.002, 0.009)"
Neuro,phecode_349-1,Abnormal findings on diagnostic test of central nervous system,"0.615 (0.592, 0.638)","0.622 (0.598, 0.643)","0.006 (-0.012, 0.028)"
Eye,phecode_360-11,Hordeolum externum,"0.516 (0.501, 0.53)","0.521 (0.51, 0.533)","0.006 (-0.004, 0.017)"
Metab,phecode_256-7,Volume depletion,"0.664 (0.647, 0.677)","0.669 (0.655, 0.682)","0.006 (-0.004, 0.018)"
Neuro,phecode_330-11,Generalized epilepsy,"0.533 (0.49, 0.574)","0.542 (0.499, 0.59)","0.006 (-0.03, 0.058)"
Neoplasms,phecode_148-1,Benign neoplasm of eye,"0.57 (0.546, 0.595)","0.578 (0.548, 0.599)","0.006 (-0.02, 0.029)"
Signs/Symptoms,phecode_823,Abnormal serum enzyme levels,"0.51 (0.502, 0.518)","0.516 (0.508, 0.524)","0.006 (0.001, 0.011)"
Cardio,phecode_417-1,Palpitations,"0.573 (0.566, 0.581)","0.579 (0.572, 0.587)","0.006 (0.002, 0.01)"
GI,phecode_550-1,Gallstones [Cholelithiasis],"0.569 (0.563, 0.579)","0.576 (0.567, 0.584)","0.006 (-0.001, 0.012)"
Cardio,phecode_452,"Hemorrhage, NOS","0.569 (0.547, 0.597)","0.574 (0.553, 0.6)","0.006 (-0.022, 0.028)"
Derm,phecode_682-1,Cutaneous cyst,"0.495 (0.486, 0.502)","0.502 (0.494, 0.511)","0.006 (-0.002, 0.016)"
Resp,phecode_465-2,Chronic Pharyngitis,"0.554 (0.547, 0.561)","0.561 (0.554, 0.568)","0.006 (0.002, 0.01)"
Neuro,phecode_330-3,Convulsions,"0.554 (0.529, 0.575)","0.561 (0.541, 0.579)","0.006 (-0.012, 0.027)"
Eye,phecode_361-1,Entropion and trichiasis of eyelid,"0.683 (0.654, 0.714)","0.69 (0.662, 0.722)","0.006 (-0.012, 0.027)"
Signs/Symptoms,phecode_823-2,Abnormal levels of other serum enzymes,"0.509 (0.501, 0.517)","0.514 (0.509, 0.524)","0.006 (0, 0.013)"
GI,phecode_550,Disorders of the gallbladder,"0.566 (0.557, 0.574)","0.572 (0.564, 0.58)","0.006 (-0.001, 0.012)"
Signs/Symptoms,phecode_840-9,Anaphylactic reaction,"0.525 (0.484, 0.565)","0.534 (0.489, 0.574)","0.007 (-0.044, 0.06)"
Musc/Skel,phecode_715-4,Spinal stenosis,"0.646 (0.635, 0.658)","0.652 (0.642, 0.664)","0.007 (0.001, 0.014)"
Metab,phecode_239-1,Hypercholesterolemia,"0.601 (0.598, 0.607)","0.608 (0.604, 0.613)","0.007 (0.004, 0.009)"
Signs/Symptoms,phecode_841-11,Penicillin allergy,"0.579 (0.571, 0.585)","0.586 (0.58, 0.591)","0.007 (0.002, 0.012)"
Neoplasms,phecode_139,Benign sarcoma-related cancers,"0.493 (0.482, 0.503)","0.5 (0.492, 0.508)","0.007 (-0.004, 0.018)"
Musc/Skel,phecode_718-5,Sciatica,"0.543 (0.536, 0.55)","0.551 (0.544, 0.558)","0.007 (0.002, 0.012)"
Derm,phecode_679,Skin symptoms,"0.53 (0.526, 0.534)","0.537 (0.533, 0.541)","0.007 (0.003, 0.009)"
Cardio,phecode_431-11,Cerebral infarction [Ischemic stroke],"0.702 (0.691, 0.714)","0.708 (0.698, 0.72)","0.007 (-0.001, 0.013)"
Metab,phecode_256,"Disorders of fluid, electrolyte and acid-base balance","0.558 (0.55, 0.565)","0.565 (0.559, 0.572)","0.007 (0.002, 0.012)"
Neuro,phecode_331-61,Migraine with aura,"0.591 (0.565, 0.613)","0.599 (0.57, 0.62)","0.007 (-0.006, 0.018)"
Resp,phecode_465-1,Acute Pharyngitis,"0.555 (0.549, 0.562)","0.562 (0.556, 0.568)","0.007 (0.003, 0.01)"
Neuro,phecode_349-13,Abnormal findings on diagnostic imaging of skull and head,"0.627 (0.604, 0.657)","0.635 (0.609, 0.663)","0.007 (-0.011, 0.032)"
Metab,phecode_239-11,Pure hypercholesterolemia,"0.603 (0.598, 0.607)","0.61 (0.606, 0.614)","0.007 (0.005, 0.009)"
Resp,phecode_468-8,Bronchopneumonia,"0.693 (0.66, 0.724)","0.697 (0.668, 0.732)","0.007 (-0.018, 0.031)"
Derm,phecode_666-1,Allergic urticaria,"0.585 (0.557, 0.617)","0.591 (0.564, 0.627)","0.007 (-0.017, 0.025)"
Neoplasms,phecode_148-16,Benign neoplasm of choroid,"0.579 (0.553, 0.609)","0.587 (0.561, 0.618)","0.007 (-0.019, 0.032)"
GI,phecode_522,Gastrointestinal inflammation,"0.552 (0.546, 0.557)","0.559 (0.554, 0.565)","0.007 (0.004, 0.012)"
Neoplasms,phecode_149-3,Benign neoplasm of the parathyroid gland,"0.614 (0.583, 0.648)","0.621 (0.589, 0.653)","0.007 (-0.025, 0.034)"
Resp,phecode_465,Pharyngitis,"0.554 (0.546, 0.561)","0.561 (0.555, 0.568)","0.007 (0.003, 0.011)"
Blood,phecode_177,Abnormality of the lymph nodes,"0.557 (0.547, 0.564)","0.565 (0.557, 0.572)","0.007 (0, 0.017)"
Blood,phecode_181,Autoimmune disease,"0.545 (0.536, 0.556)","0.553 (0.538, 0.563)","0.007 (-0.001, 0.018)"
Eye,phecode_389-1,Ocular pain,"0.527 (0.503, 0.55)","0.532 (0.51, 0.561)","0.007 (-0.013, 0.03)"
GI,phecode_529-2,Abdominal distension and flatulence,"0.567 (0.559, 0.576)","0.575 (0.566, 0.583)","0.007 (0.001, 0.016)"
Metab,phecode_239,Hyperlipidemia,"0.594 (0.59, 0.598)","0.601 (0.598, 0.605)","0.007 (0.005, 0.01)"
Resp,phecode_473,Other diseases of upper respiratory tract,"0.529 (0.516, 0.539)","0.536 (0.523, 0.548)","0.007 (-0.003, 0.017)"
Derm,phecode_660-12,Dermatophytosis,"0.539 (0.532, 0.545)","0.547 (0.54, 0.553)","0.007 (0.003, 0.011)"
Neoplasms,phecode_104,Malignant sarcoma-related cancers,"0.537 (0.509, 0.563)","0.544 (0.512, 0.576)","0.007 (-0.024, 0.032)"
Musc/Skel,phecode_705-1,Rheumatoid arthritis,"0.581 (0.568, 0.596)","0.588 (0.571, 0.605)","0.007 (-0.004, 0.02)"
Resp,phecode_483,Pleural effusion,"0.679 (0.667, 0.691)","0.686 (0.677, 0.698)","0.008 (-0.001, 0.015)"
Derm,phecode_674-2,Hypepigmentation,"0.578 (0.561, 0.594)","0.583 (0.567, 0.605)","0.008 (-0.003, 0.018)"
Musc/Skel,phecode_713-3,Pain in joint,"0.52 (0.516, 0.523)","0.528 (0.524, 0.532)","0.008 (0.005, 0.01)"
Signs/Symptoms,phecode_812,Edema,"0.608 (0.6, 0.615)","0.615 (0.606, 0.622)","0.008 (0.001, 0.013)"
Musc/Skel,phecode_722-4,Palmar fascial fibromatosis [Dupuytren],"0.644 (0.63, 0.655)","0.652 (0.639, 0.663)","0.008 (0.003, 0.012)"
GI,phecode_557-8,Hemorrhage of rectum and anus,"0.505 (0.498, 0.512)","0.513 (0.505, 0.521)","0.008 (0.001, 0.016)"
Musc/Skel,phecode_727-1,Osteonecrosis,"0.513 (0.469, 0.56)","0.519 (0.474, 0.56)","0.008 (-0.039, 0.055)"
Neuro,phecode_331-8,Headache NOS,"0.567 (0.56, 0.572)","0.575 (0.569, 0.581)","0.008 (0.002, 0.013)"
Derm,phecode_673-1,Actinic keratosis,"0.598 (0.594, 0.603)","0.606 (0.603, 0.61)","0.008 (0.006, 0.009)"
Musc/Skel,phecode_713,Symptoms related to joints,"0.52 (0.517, 0.523)","0.528 (0.525, 0.532)","0.008 (0.005, 0.01)"
Eye,phecode_360-1,Hordeolum,"0.516 (0.505, 0.526)","0.524 (0.512, 0.536)","0.008 (-0.001, 0.016)"
Cardio,phecode_439,Hemorrhoids,"0.501 (0.493, 0.507)","0.508 (0.503, 0.515)","0.008 (0.002, 0.014)"
Metab,phecode_230-3,Anorexia,"0.597 (0.582, 0.615)","0.606 (0.589, 0.628)","0.008 (-0.002, 0.019)"
Musc/Skel,phecode_722-1,Plantar fascial fibromatosis [Plantar fasciitis],"0.524 (0.519, 0.531)","0.532 (0.526, 0.54)","0.008 (0.004, 0.013)"
Death,OMOP_4306655,All-Cause Death,"0.707 (0.701, 0.715)","0.716 (0.711, 0.722)","0.008 (0.004, 0.013)"
Signs/Symptoms,phecode_840,Allergy,"0.541 (0.536, 0.547)","0.549 (0.544, 0.556)","0.008 (0.004, 0.013)"
Blood,phecode_176,Other diseases of blood and blood-forming organs,"0.548 (0.527, 0.568)","0.555 (0.534, 0.578)","0.008 (-0.01, 0.024)"
Resp,phecode_472,"Diseases of vocal cords and larynx, not elsewhere classified","0.57 (0.545, 0.604)","0.575 (0.552, 0.601)","0.008 (-0.026, 0.027)"
Musc/Skel,phecode_724-1,Myalgia,"0.55 (0.543, 0.557)","0.558 (0.55, 0.565)","0.008 (0.003, 0.014)"
Cardio,phecode_433,Other cerebrovascular disease,"0.716 (0.704, 0.727)","0.724 (0.715, 0.736)","0.008 (0.001, 0.017)"
Musc/Skel,phecode_726-2,Pathologic fracture,"0.721 (0.699, 0.747)","0.729 (0.709, 0.757)","0.008 (-0.007, 0.022)"
Musc/Skel,phecode_716-2,Degenerative disc disease,"0.516 (0.501, 0.532)","0.524 (0.505, 0.543)","0.008 (-0.007, 0.021)"
Neoplasms,phecode_103,Malignant neoplasm of the skin,"0.656 (0.649, 0.663)","0.664 (0.657, 0.671)","0.008 (0.006, 0.011)"
Derm,phecode_679-7,"Abnormal granulation tissue, NOS","0.609 (0.583, 0.632)","0.617 (0.59, 0.639)","0.008 (-0.006, 0.025)"
Derm,phecode_673,Skin changes due to chronic exposure to nonionizing radiation,"0.597 (0.593, 0.601)","0.605 (0.601, 0.609)","0.008 (0.006, 0.01)"
Cardio,phecode_431-12,Hemorrhagic stroke,"0.649 (0.628, 0.671)","0.657 (0.629, 0.676)","0.009 (-0.012, 0.026)"
Derm,phecode_680,Epidermal thickening,"0.582 (0.574, 0.591)","0.592 (0.583, 0.599)","0.009 (0.001, 0.016)"
Neuro,phecode_342,Plegia and unspecified paralysis,"0.549 (0.529, 0.581)","0.559 (0.536, 0.582)","0.009 (-0.014, 0.032)"
Neoplasms,phecode_138-1,"Nevus, non-neoplastic","0.531 (0.51, 0.554)","0.54 (0.517, 0.558)","0.009 (-0.01, 0.027)"
Cardio,phecode_411-2,Pericardial effusion (noninflammatory)*,"0.644 (0.619, 0.666)","0.652 (0.623, 0.676)","0.009 (-0.011, 0.032)"
Derm,phecode_676,Hypertrophic conditions of skin,"0.491 (0.481, 0.502)","0.501 (0.49, 0.509)","0.009 (-0.003, 0.02)"
GI,phecode_556-3,"Abdominal or pelvic swelling, mass, or lump","0.546 (0.528, 0.563)","0.556 (0.539, 0.569)","0.009 (-0.009, 0.025)"
GI,phecode_522-9,Gastritis,"0.561 (0.556, 0.567)","0.571 (0.563, 0.576)","0.009 (0.004, 0.015)"
Musc/Skel,phecode_707,Other arthropathies,"0.631 (0.624, 0.637)","0.639 (0.632, 0.646)","0.009 (0.005, 0.013)"
Resp,phecode_479,Pulmonary insufficiency and acute respiratory distress syndrome,"0.655 (0.645, 0.667)","0.665 (0.655, 0.678)","0.009 (0.001, 0.018)"
Resp,phecode_477,Inhalation lung injury,"0.714 (0.676, 0.761)","0.723 (0.685, 0.773)","0.009 (-0.01, 0.028)"
Neuro,phecode_346,Brain damage and brain death,"0.562 (0.536, 0.599)","0.571 (0.535, 0.608)","0.009 (-0.027, 0.043)"
GI,phecode_513,Peptic ulcer,"0.59 (0.581, 0.605)","0.599 (0.589, 0.612)","0.009 (-0.002, 0.018)"
Signs/Symptoms,phecode_841-4,Allergy to analgesic agent,"0.598 (0.587, 0.609)","0.608 (0.598, 0.617)","0.009 (0.001, 0.017)"
Derm,phecode_681,"Localized swelling, mass and lump of skin and subcutaneous tissue","0.555 (0.55, 0.562)","0.565 (0.559, 0.57)","0.009 (0.004, 0.013)"
Neuro,phecode_324-3,Dystonia,"0.55 (0.537, 0.563)","0.559 (0.549, 0.572)","0.009 (-0.004, 0.02)"
ID,phecode_007,Hemophilus infection,"0.589 (0.549, 0.621)","0.599 (0.554, 0.631)","0.009 (-0.023, 0.04)"
Neuro,phecode_336-52,Meralgia paresthetica,"0.486 (0.461, 0.512)","0.497 (0.469, 0.527)","0.01 (-0.016, 0.041)"
Derm,phecode_660,Infection of the skin,"0.52 (0.516, 0.524)","0.529 (0.525, 0.533)","0.01 (0.005, 0.013)"
Derm,phecode_660-1,Fungal infection of the skin,"0.533 (0.527, 0.539)","0.542 (0.535, 0.548)","0.01 (0.005, 0.013)"
Metab,phecode_247-5,Disorders of calcium metabolism,"0.607 (0.592, 0.624)","0.616 (0.601, 0.629)","0.01 (-0.005, 0.021)"
Derm,phecode_672,Other acute skin changes due to ultraviolet radiation,"0.57 (0.544, 0.604)","0.581 (0.546, 0.613)","0.01 (-0.017, 0.034)"
Neoplasms,phecode_116-5,Secondary malignancy of brain/spine,"0.624 (0.603, 0.65)","0.636 (0.613, 0.661)","0.01 (-0.007, 0.031)"
Resp,phecode_488-1,Dyspnea [Shortness of breath],"0.597 (0.592, 0.602)","0.607 (0.602, 0.612)","0.01 (0.006, 0.013)"
ID,phecode_007-1,Hemophilus influenzae,"0.578 (0.547, 0.621)","0.588 (0.557, 0.628)","0.01 (-0.03, 0.044)"
Neuro,phecode_350-5,Repeated falls*,"0.716 (0.705, 0.724)","0.726 (0.718, 0.734)","0.01 (0.003, 0.016)"
Derm,phecode_688,Granulomatous disorder of the skin,"0.512 (0.49, 0.531)","0.521 (0.501, 0.546)","0.01 (-0.012, 0.037)"
Neuro,phecode_342-4,Monoplegia,"0.543 (0.503, 0.574)","0.554 (0.52, 0.579)","0.01 (-0.024, 0.04)"
Genitourinary,phecode_584,Renal failure,"0.679 (0.663, 0.7)","0.688 (0.671, 0.709)","0.01 (-0.005, 0.024)"
Eye,phecode_367-12,Allergic [atopic] conjunctivitis,"0.576 (0.557, 0.599)","0.584 (0.566, 0.603)","0.01 (-0.004, 0.021)"
GI,phecode_554,Diseases of the pancreas,"0.595 (0.578, 0.616)","0.606 (0.586, 0.625)","0.01 (-0.002, 0.026)"
Musc/Skel,phecode_723-2,Rotator cuff tear or rupture,"0.53 (0.519, 0.538)","0.539 (0.528, 0.549)","0.01 (0.001, 0.017)"
Signs/Symptoms,phecode_827,Toxicology findings,"0.597 (0.577, 0.617)","0.608 (0.59, 0.628)","0.01 (0.003, 0.022)"
GI,phecode_558,Abnormal findings on diagnostic imaging of the digestive tract,"0.556 (0.545, 0.566)","0.566 (0.558, 0.579)","0.01 (0.003, 0.018)"
Resp,phecode_464,Nasopharyngitis,"0.523 (0.51, 0.537)","0.534 (0.52, 0.547)","0.01 (-0.004, 0.023)"
Neuro,phecode_325,Symptoms and signs related to movement disorders,"0.637 (0.628, 0.644)","0.647 (0.638, 0.655)","0.011 (0.004, 0.018)"
Musc/Skel,phecode_718-2,Cervicalgia,"0.548 (0.542, 0.554)","0.559 (0.553, 0.565)","0.011 (0.005, 0.016)"
Genitourinary,phecode_623,Hypertrophy of female genital organs,"0.481 (0.462, 0.497)","0.492 (0.477, 0.506)","0.011 (-0.004, 0.027)"
Neuro,phecode_355,Coma and other alteration of consciousness,"0.611 (0.595, 0.631)","0.624 (0.604, 0.642)","0.011 (-0.003, 0.028)"
Musc/Skel,phecode_718-1,Radiculopathy,"0.56 (0.548, 0.573)","0.57 (0.558, 0.583)","0.011 (-0.001, 0.021)"
ID,phecode_089-3,Fungal infections,"0.515 (0.511, 0.52)","0.526 (0.521, 0.531)","0.011 (0.006, 0.017)"
Signs/Symptoms,phecode_827-1,Finding of alcohol in blood,"0.6 (0.585, 0.617)","0.611 (0.595, 0.628)","0.011 (0.003, 0.02)"
GI,phecode_516,Other diseases of stomach and duodenum,"0.576 (0.563, 0.594)","0.587 (0.57, 0.607)","0.011 (-0.001, 0.023)"
ID,phecode_070,Candidiasis,"0.573 (0.565, 0.581)","0.584 (0.576, 0.592)","0.011 (0.005, 0.016)"
Musc/Skel,phecode_716,Intervertebral disc disorder,"0.534 (0.527, 0.543)","0.546 (0.539, 0.556)","0.011 (0.003, 0.021)"
Signs/Symptoms,phecode_840-2,Allergy to insects,"0.564 (0.552, 0.574)","0.575 (0.564, 0.584)","0.011 (0.003, 0.019)"
