phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta,epic_agesex,epic_agesexretina,epic_delta,sign_ukb,sign_epic,sign
Musc/Skel,phecode_709-2,Acquired deformities of toe,"0.674 (0.663, 0.685)","0.676 (0.668, 0.686)","0.002 (-0.002, 0.006)",,,,ns,NA,ns|NA
Genitourinary,phecode_618-2,Uterine/Uterovaginal prolapse,"0.585 (0.569, 0.606)","0.588 (0.571, 0.607)","0.002 (-0.01, 0.015)",,,,ns,NA,ns|NA
Resp,phecode_469,Bronchitis,"0.607 (0.583, 0.633)","0.609 (0.589, 0.637)","0.002 (-0.015, 0.022)",,,,ns,NA,ns|NA
Musc/Skel,phecode_714-3,Scoliosis,"0.718 (0.696, 0.739)","0.72 (0.698, 0.743)","0.002 (-0.009, 0.011)",,,,ns,NA,ns|NA
GI,phecode_514-1,Esophageal obstruction (Stricture and stenosis of esophagus),"0.628 (0.611, 0.645)","0.628 (0.612, 0.649)","0.002 (-0.01, 0.011)",,,,ns,NA,ns|NA
Genitourinary,phecode_597,Other disorders of urethra and urinary tract,"0.624 (0.599, 0.64)","0.627 (0.603, 0.644)","0.002 (-0.005, 0.011)",,,,ns,NA,ns|NA
Metab,phecode_232-27,Vitamin B12 deficiency,"0.606 (0.577, 0.64)","0.61 (0.571, 0.638)","0.003 (-0.035, 0.04)",,,,ns,NA,ns|NA
Neoplasms,phecode_136-4,"Benign neoplasm of colon, rectum, anus and anal canal","0.588 (0.582, 0.593)","0.59 (0.584, 0.596)","0.003 (0, 0.005)",,,,ns,NA,ns|NA
Musc/Skel,phecode_727,Other disorders of bone,"0.645 (0.629, 0.659)","0.647 (0.632, 0.661)","0.003 (-0.003, 0.01)",,,,ns,NA,ns|NA
Derm,phecode_685,Disorders of sweat glands,"0.558 (0.51, 0.588)","0.553 (0.514, 0.597)","0.003 (-0.033, 0.039)",,,,ns,NA,ns|NA
Endo,phecode_200-14,"Hypothyroidism, not specified as secondary","0.671 (0.664, 0.68)","0.674 (0.667, 0.682)","0.003 (0, 0.005)",,,,ns,NA,ns|NA
Neoplasms,phecode_136-41,Benign neoplasm of the colon,"0.602 (0.597, 0.609)","0.605 (0.599, 0.611)","0.003 (0.001, 0.006)",,,,+,NA,+|NA
Cardio,phecode_436,Atherosclerosis [ASCVD],"0.714 (0.705, 0.72)","0.716 (0.709, 0.723)","0.003 (-0.001, 0.005)",,,,ns,NA,ns|NA
Neuro,phecode_353,Symptoms and signs involving general sensations and perceptions,"0.623 (0.595, 0.659)","0.627 (0.593, 0.655)","0.003 (-0.033, 0.031)",,,,ns,NA,ns|NA
Genitourinary,phecode_591,Urinary tract infection,"0.662 (0.654, 0.672)","0.666 (0.657, 0.676)","0.003 (-0.002, 0.01)",,,,ns,NA,ns|NA
Cardio,phecode_406,Chronic pulmonary heart disease,"0.735 (0.712, 0.758)","0.74 (0.716, 0.765)","0.003 (-0.017, 0.022)",,,,ns,NA,ns|NA
Neoplasms,phecode_144-21,Leiomyoma of uterus,"0.67 (0.654, 0.685)","0.674 (0.658, 0.69)","0.003 (-0.003, 0.01)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_840-8,Allergies related to other diseases/symptoms,"0.456 (0.438, 0.474)","0.459 (0.44, 0.478)","0.003 (-0.009, 0.018)",,,,ns,NA,ns|NA
Resp,phecode_476,Bronchiectasis,"0.7 (0.685, 0.718)","0.705 (0.688, 0.721)","0.003 (-0.005, 0.012)",,,,ns,NA,ns|NA
Musc/Skel,phecode_723-2,Rotator cuff tear or rupture,"0.573 (0.558, 0.592)","0.576 (0.564, 0.596)","0.003 (-0.007, 0.012)",,,,ns,NA,ns|NA
Neuro,phecode_331-6,Migraine,"0.596 (0.582, 0.614)","0.599 (0.585, 0.622)","0.003 (-0.005, 0.012)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_841-1,Allergy to other anti-infective agents,"0.592 (0.587, 0.599)","0.595 (0.59, 0.601)","0.003 (0.001, 0.006)",,,,+,NA,+|NA
Cardio,phecode_410-2,Endocarditis,"0.675 (0.638, 0.712)","0.677 (0.645, 0.717)","0.004 (-0.017, 0.024)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_841,Drug and medical agent allergy,"0.588 (0.583, 0.595)","0.592 (0.586, 0.598)","0.004 (0.001, 0.007)",,,,+,NA,+|NA
Neoplasms,phecode_103-3,Carcinoma in situ of skin,"0.732 (0.699, 0.755)","0.733 (0.704, 0.76)","0.004 (-0.005, 0.013)",,,,ns,NA,ns|NA
Cardio,phecode_404-2,Coronary atherosclerosis [Atherosclerotic heart disease],"0.712 (0.704, 0.718)","0.715 (0.708, 0.722)","0.004 (0.001, 0.007)",,,,+,NA,+|NA
Genitourinary,phecode_627-3,Postmenopausal atrophic vaginitis,"0.497 (0.467, 0.525)","0.5 (0.472, 0.53)","0.004 (-0.023, 0.025)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_841-12,Allergy to antibiotic agent (excluding penicillin),"0.636 (0.626, 0.648)","0.64 (0.629, 0.651)","0.004 (-0.003, 0.009)",,,,ns,NA,ns|NA
Neoplasms,phecode_116-6,Secondary malignancy of bone,"0.687 (0.672, 0.7)","0.69 (0.677, 0.703)","0.004 (-0.003, 0.01)",,,,ns,NA,ns|NA
Cardio,phecode_431-12,Hemorrhagic stroke,"0.658 (0.633, 0.686)","0.662 (0.638, 0.682)","0.004 (-0.013, 0.018)",,,,ns,NA,ns|NA
Cardio,phecode_430,Nontraumatic Intracranial hemorrhage,"0.659 (0.643, 0.685)","0.664 (0.642, 0.688)","0.004 (-0.006, 0.018)",,,,ns,NA,ns|NA
GI,phecode_529-5,Constipation,"0.632 (0.624, 0.639)","0.635 (0.629, 0.642)","0.004 (-0.001, 0.009)",,,,ns,NA,ns|NA
Cardio,phecode_420,Cardiac arrest,"0.727 (0.711, 0.748)","0.731 (0.709, 0.756)","0.004 (-0.013, 0.021)",,,,ns,NA,ns|NA
GI,phecode_554-2,Cyst and pseudocyst of pancreas,"0.606 (0.559, 0.649)","0.604 (0.561, 0.651)","0.004 (-0.036, 0.034)",,,,ns,NA,ns|NA
Neuro,phecode_327,Other degenerative diseases of nervous system,"0.698 (0.674, 0.722)","0.702 (0.673, 0.73)","0.005 (-0.012, 0.022)",,,,ns,NA,ns|NA
GI,phecode_545,Nonspecific abnormal results of function study of liver,"0.609 (0.596, 0.626)","0.614 (0.603, 0.625)","0.005 (-0.008, 0.014)",,,,ns,NA,ns|NA
Neuro,phecode_330-3,Convulsions,"0.586 (0.562, 0.61)","0.588 (0.56, 0.617)","0.005 (-0.02, 0.027)",,,,ns,NA,ns|NA
GI,phecode_522-11,Crohn's disease,"0.45 (0.422, 0.477)","0.454 (0.425, 0.49)","0.005 (-0.025, 0.033)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_848,Nonspecific abnormal findings of other body structures,"0.551 (0.516, 0.594)","0.556 (0.523, 0.594)","0.005 (-0.027, 0.031)",,,,ns,NA,ns|NA
GI,phecode_557-2,Blood in stool,"0.66 (0.639, 0.68)","0.664 (0.644, 0.687)","0.006 (-0.008, 0.015)",,,,ns,NA,ns|NA
Endo,phecode_204,Elevated blood glucose level,"0.639 (0.601, 0.662)","0.643 (0.611, 0.669)","0.006 (-0.016, 0.031)",,,,ns,NA,ns|NA
Hearing,phecode_394-1,Meniere disease,"0.592 (0.56, 0.624)","0.599 (0.562, 0.629)","0.006 (-0.021, 0.031)",,,,ns,NA,ns|NA
Neoplasms,phecode_100,Malignant neoplasm of the head and neck,"0.613 (0.585, 0.644)","0.619 (0.583, 0.646)","0.006 (-0.012, 0.026)",,,,ns,NA,ns|NA
Genitourinary,phecode_597-1,Urethral stricture,"0.648 (0.628, 0.667)","0.653 (0.635, 0.676)","0.006 (-0.004, 0.012)",,,,ns,NA,ns|NA
Derm,phecode_673-1,Actinic keratosis,"0.683 (0.669, 0.702)","0.689 (0.674, 0.708)","0.006 (0.001, 0.011)",,,,+,NA,+|NA
Derm,phecode_680,Epidermal thickening,"0.58 (0.55, 0.605)","0.584 (0.553, 0.613)","0.006 (-0.027, 0.026)",,,,ns,NA,ns|NA
Musc/Skel,phecode_721-1,Synovitis and tenosynovitis,"0.554 (0.538, 0.573)","0.561 (0.542, 0.573)","0.006 (-0.01, 0.021)",,,,ns,NA,ns|NA
ID,phecode_015-2,Clostridium difficile,"0.65 (0.607, 0.687)","0.655 (0.621, 0.699)","0.006 (-0.025, 0.045)",,,,ns,NA,ns|NA
Neuro,phecode_334-2,Facial nerve disorders and weakness,"0.547 (0.514, 0.581)","0.551 (0.52, 0.583)","0.006 (-0.027, 0.038)",,,,ns,NA,ns|NA
Neoplasms,phecode_116-2,Secondary malignancy of respiratory organs,"0.637 (0.621, 0.652)","0.642 (0.63, 0.661)","0.006 (-0.004, 0.017)",,,,ns,NA,ns|NA
Musc/Skel,phecode_708-8,Secondary osteoarthritis,"0.573 (0.544, 0.607)","0.579 (0.556, 0.611)","0.006 (-0.014, 0.03)",,,,ns,NA,ns|NA
Resp,phecode_468-8,Bronchopneumonia,"0.699 (0.662, 0.734)","0.705 (0.667, 0.739)","0.006 (-0.015, 0.03)",,,,ns,NA,ns|NA
Metab,phecode_256-5,Hypokalemia [Hypopotassemia],"0.647 (0.633, 0.664)","0.654 (0.64, 0.674)","0.006 (-0.004, 0.018)",,,,ns,NA,ns|NA
Neuro,phecode_334,Disorders of other cranial nerves,"0.558 (0.532, 0.586)","0.564 (0.538, 0.587)","0.007 (-0.018, 0.026)",,,,ns,NA,ns|NA
ID,phecode_015,Clostridium,"0.64 (0.61, 0.675)","0.649 (0.614, 0.692)","0.007 (-0.027, 0.052)",,,,ns,NA,ns|NA
Cardio,phecode_413-21,Aortic stenosis,"0.756 (0.745, 0.771)","0.764 (0.749, 0.779)","0.007 (-0.003, 0.016)",,,,ns,NA,ns|NA
Cardio,phecode_413-3,Tricuspid valve disorders,"0.727 (0.714, 0.738)","0.733 (0.72, 0.746)","0.007 (0, 0.015)",,,,ns,NA,ns|NA
Resp,phecode_484,Pneumothorax and air leak,"0.639 (0.609, 0.669)","0.648 (0.615, 0.681)","0.007 (-0.023, 0.044)",,,,ns,NA,ns|NA
Cardio,phecode_411,Other diseases of pericardium,"0.654 (0.625, 0.677)","0.661 (0.639, 0.684)","0.007 (-0.009, 0.026)",,,,ns,NA,ns|NA
Neuro,phecode_334-21,Bell's palsy,"0.553 (0.51, 0.579)","0.554 (0.534, 0.59)","0.008 (-0.03, 0.046)",,,,ns,NA,ns|NA
Stat,phecode_988,Family history of cardiovascular disease,"0.573 (0.564, 0.582)","0.58 (0.569, 0.59)","0.008 (0.002, 0.014)",,,,+,NA,+|NA
Musc/Skel,phecode_726-2,Pathologic fracture,"0.724 (0.698, 0.754)","0.731 (0.7, 0.756)","0.008 (-0.006, 0.022)",,,,ns,NA,ns|NA
Musc/Skel,phecode_724-52,Osteophyte*,"0.559 (0.544, 0.58)","0.568 (0.551, 0.588)","0.008 (-0.006, 0.022)",,,,ns,NA,ns|NA
Cardio,phecode_425,Cardiomegaly,"0.693 (0.682, 0.707)","0.701 (0.691, 0.714)","0.008 (-0.001, 0.017)",,,,ns,NA,ns|NA
GI,phecode_554-1,Pancreatitis,"0.581 (0.556, 0.608)","0.591 (0.561, 0.612)","0.008 (-0.016, 0.031)",,,,ns,NA,ns|NA
Blood,phecode_177-4,Lymphedema,"0.66 (0.628, 0.692)","0.668 (0.637, 0.687)","0.008 (-0.024, 0.029)",,,,ns,NA,ns|NA
Musc/Skel,phecode_709-22,Hallux rigidus,"0.589 (0.553, 0.618)","0.594 (0.564, 0.632)","0.008 (-0.011, 0.026)",,,,ns,NA,ns|NA
GI,phecode_522-8,Duodenitis,"0.603 (0.588, 0.62)","0.611 (0.597, 0.624)","0.008 (-0.002, 0.019)",,,,ns,NA,ns|NA
Metab,phecode_230-21,Abnormal weight loss,"0.628 (0.616, 0.64)","0.637 (0.625, 0.648)","0.009 (0, 0.015)",,,,ns,NA,ns|NA
Metab,phecode_230,Malnutrition and underweight,"0.627 (0.618, 0.637)","0.636 (0.626, 0.646)","0.009 (0.002, 0.014)",,,,+,NA,+|NA
Cardio,phecode_414-2,Dilated cardiomyopathy*,"0.668 (0.624, 0.714)","0.673 (0.634, 0.724)","0.009 (-0.012, 0.025)",,,,ns,NA,ns|NA
Resp,phecode_463-2,Allergic rhinitis,"0.444 (0.429, 0.469)","0.455 (0.432, 0.473)","0.009 (-0.011, 0.027)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_841-4,Allergy to analgesic agent,"0.602 (0.591, 0.616)","0.609 (0.601, 0.625)","0.009 (0.001, 0.015)",,,,+,NA,+|NA
Signs/Symptoms,phecode_841-11,Penicillin allergy,"0.577 (0.57, 0.585)","0.586 (0.579, 0.595)","0.009 (0.005, 0.013)",,,,+,NA,+|NA
Musc/Skel,phecode_711-1,Derangement of meniscus,"0.522 (0.509, 0.531)","0.53 (0.517, 0.542)","0.009 (-0.003, 0.019)",,,,ns,NA,ns|NA
Cardio,phecode_437,Vascular insufficiency of intestine,"0.669 (0.638, 0.699)","0.681 (0.645, 0.712)","0.009 (-0.018, 0.037)",,,,ns,NA,ns|NA
Genitourinary,phecode_586-2,Cyst of kidney,"0.66 (0.64, 0.679)","0.668 (0.65, 0.696)","0.009 (-0.001, 0.024)",,,,ns,NA,ns|NA
ID,phecode_061,Influenza virus,"0.614 (0.583, 0.643)","0.624 (0.591, 0.659)","0.009 (-0.014, 0.031)",,,,ns,NA,ns|NA
Neoplasms,phecode_108-4,Malignant neoplasm of the kidney,"0.669 (0.641, 0.693)","0.68 (0.653, 0.708)","0.01 (-0.009, 0.032)",,,,ns,NA,ns|NA
Musc/Skel,phecode_712-1,Loose body in joint,"0.507 (0.469, 0.534)","0.511 (0.478, 0.553)","0.01 (-0.022, 0.042)",,,,ns,NA,ns|NA
Metab,phecode_230-2,Abnormal loss of weight and underweight,"0.627 (0.615, 0.641)","0.637 (0.625, 0.65)","0.01 (0.003, 0.017)",,,,+,NA,+|NA
Neoplasms,phecode_101-2,Malignant neoplasm of stomach,"0.676 (0.636, 0.709)","0.686 (0.652, 0.716)","0.01 (-0.009, 0.032)",,,,ns,NA,ns|NA
Musc/Skel,phecode_706,Other inflammatory spondylopathies,"0.61 (0.587, 0.629)","0.621 (0.6, 0.638)","0.01 (-0.005, 0.027)",,,,ns,NA,ns|NA
Cardio,phecode_430-2,Nontraumatic intracerebral hemorrhage,"0.69 (0.664, 0.721)","0.701 (0.675, 0.734)","0.01 (-0.008, 0.026)",,,,ns,NA,ns|NA
Neuro,phecode_336-5,Mononeuritis of lower limb,"0.606 (0.579, 0.638)","0.619 (0.586, 0.641)","0.01 (-0.016, 0.03)",,,,ns,NA,ns|NA
GI,phecode_556-8,Nonspecific abnormal findings in stool contents,"0.591 (0.575, 0.608)","0.6 (0.582, 0.618)","0.01 (-0.004, 0.023)",,,,ns,NA,ns|NA
GI,phecode_526-12,Intestinal infection due to C. difficile,"0.647 (0.613, 0.686)","0.659 (0.621, 0.69)","0.01 (-0.015, 0.052)",,,,ns,NA,ns|NA
Cardio,phecode_447,Nonspecific low blood-pressure reading,"0.63 (0.608, 0.658)","0.64 (0.614, 0.67)","0.01 (-0.005, 0.027)",,,,ns,NA,ns|NA
Neuro,phecode_354,Dizziness and giddiness,"0.598 (0.585, 0.615)","0.607 (0.595, 0.625)","0.01 (0, 0.02)",,,,ns,NA,ns|NA
Cardio,phecode_424-1,Left heart failure,"0.733 (0.714, 0.747)","0.744 (0.73, 0.76)","0.01 (0.003, 0.022)",,,,+,NA,+|NA
Musc/Skel,phecode_724-5,Exostosis,"0.554 (0.533, 0.567)","0.562 (0.546, 0.581)","0.011 (-0.005, 0.024)",,,,ns,NA,ns|NA
Eye,phecode_363,Disorders of lacrimal system,"0.667 (0.648, 0.689)","0.678 (0.659, 0.699)","0.011 (0.001, 0.019)",,,,+,NA,+|NA
Musc/Skel,phecode_721,Synoviopathy and bursopathy,"0.556 (0.546, 0.568)","0.567 (0.556, 0.578)","0.011 (0.003, 0.018)",,,,+,NA,+|NA
Cardio,phecode_419,Presence of cardiac device,"0.741 (0.726, 0.754)","0.752 (0.739, 0.764)","0.011 (0.004, 0.019)",,,,+,NA,+|NA
GI,phecode_513-2,Gastric ulcer,"0.588 (0.57, 0.602)","0.598 (0.585, 0.613)","0.011 (-0.004, 0.024)",,,,ns,NA,ns|NA
Derm,phecode_668,Dermatitis [eczema],"0.552 (0.534, 0.57)","0.564 (0.547, 0.58)","0.011 (-0.001, 0.024)",,,,ns,NA,ns|NA
GI,phecode_504,Periodontal diseases,"0.494 (0.467, 0.525)","0.503 (0.471, 0.548)","0.011 (-0.024, 0.039)",,,,ns,NA,ns|NA
Genitourinary,phecode_581-31,Hydronephrosis,"0.618 (0.6, 0.637)","0.629 (0.611, 0.647)","0.011 (-0.002, 0.02)",,,,ns,NA,ns|NA
Cardio,phecode_448-1,Raynaud's syndrome,"0.608 (0.586, 0.63)","0.617 (0.602, 0.643)","0.011 (-0.003, 0.026)",,,,ns,NA,ns|NA
Neoplasms,phecode_108-41,"Malignant neoplasm of kidney, except pelvis","0.671 (0.646, 0.701)","0.681 (0.653, 0.713)","0.011 (-0.007, 0.027)",,,,ns,NA,ns|NA
Genitourinary,phecode_594-3,Urinary incontinence,"0.626 (0.612, 0.638)","0.637 (0.621, 0.648)","0.011 (0.002, 0.02)",,,,+,NA,+|NA
Genitourinary,phecode_581-3,Obstructive and reflux uropathy,"0.623 (0.604, 0.641)","0.634 (0.614, 0.648)","0.011 (-0.002, 0.022)",,,,ns,NA,ns|NA
Neuro,phecode_353-1,Hallucinations,"0.631 (0.585, 0.669)","0.642 (0.603, 0.676)","0.011 (-0.027, 0.047)",,,,ns,NA,ns|NA
Resp,phecode_487-1,Epistaxis,"0.643 (0.622, 0.667)","0.655 (0.636, 0.677)","0.012 (-0.002, 0.025)",,,,ns,NA,ns|NA
GI,phecode_523-4,Diverticulitis,"0.608 (0.567, 0.651)","0.622 (0.577, 0.665)","0.012 (-0.025, 0.049)",,,,ns,NA,ns|NA
GI,phecode_554-11,Acute pancreatitis,"0.57 (0.545, 0.599)","0.584 (0.556, 0.61)","0.012 (-0.009, 0.032)",,,,ns,NA,ns|NA
Metab,phecode_239,Hyperlipidemia,"0.682 (0.678, 0.686)","0.694 (0.691, 0.698)","0.012 (0.009, 0.014)",,,,+,NA,+|NA
GI,phecode_558,Abnormal findings on diagnostic imaging of the digestive tract,"0.578 (0.56, 0.599)","0.589 (0.572, 0.609)","0.012 (-0.004, 0.026)",,,,ns,NA,ns|NA
Metab,phecode_239-11,Pure hypercholesterolemia,"0.682 (0.678, 0.688)","0.695 (0.69, 0.699)","0.012 (0.01, 0.015)",,,,+,NA,+|NA
Metab,phecode_239-1,Hypercholesterolemia,"0.682 (0.677, 0.686)","0.694 (0.69, 0.698)","0.012 (0.01, 0.014)",,,,+,NA,+|NA
Musc/Skel,phecode_715-3,Spondylolisthesis,"0.667 (0.644, 0.687)","0.678 (0.654, 0.701)","0.012 (-0.004, 0.024)",,,,ns,NA,ns|NA
Neoplasms,phecode_139-5,Lipoma,"0.539 (0.52, 0.56)","0.552 (0.535, 0.571)","0.013 (0.003, 0.021)",,,,+,NA,+|NA
Stat,phecode_983,Family history of other endocrine and metabolic diseases,"0.506 (0.457, 0.545)","0.515 (0.466, 0.552)","0.013 (-0.039, 0.057)",,,,ns,NA,ns|NA
Death,OMOP_4306655,All-Cause Death,"0.708 (0.701, 0.715)","0.721 (0.715, 0.728)","0.013 (0.009, 0.017)",,,,+,NA,+|NA
Signs/Symptoms,phecode_812,Edema,"0.655 (0.64, 0.667)","0.666 (0.651, 0.681)","0.013 (-0.002, 0.022)",,,,ns,NA,ns|NA
Musc/Skel,phecode_723-1,Adhesive capsulitis of shoulder,"0.551 (0.522, 0.578)","0.565 (0.535, 0.596)","0.013 (-0.009, 0.031)",,,,ns,NA,ns|NA
Resp,phecode_463-21,Seasonal allergic rhinitis,"0.447 (0.428, 0.465)","0.46 (0.44, 0.476)","0.013 (-0.003, 0.033)",,,,ns,NA,ns|NA
Eye,phecode_360-4,Blepharitis,"0.629 (0.598, 0.666)","0.641 (0.604, 0.681)","0.013 (-0.015, 0.038)",,,,ns,NA,ns|NA
Neuro,phecode_356,Speech disturbance,"0.647 (0.621, 0.667)","0.658 (0.64, 0.682)","0.013 (-0.003, 0.028)",,,,ns,NA,ns|NA
Resp,phecode_465,Pharyngitis,"0.479 (0.445, 0.508)","0.493 (0.461, 0.522)","0.014 (-0.022, 0.052)",,,,ns,NA,ns|NA
Genitourinary,phecode_586,Other disorders of the kidney and ureters,"0.66 (0.646, 0.676)","0.675 (0.661, 0.691)","0.014 (0.005, 0.025)",,,,+,NA,+|NA
Eye,phecode_374-3,Retinal vascular changes and occlusions,"0.683 (0.655, 0.7)","0.698 (0.67, 0.714)","0.014 (-0.002, 0.03)",,,,ns,NA,ns|NA
Blood,phecode_169-1,Thrombocytopenia,"0.658 (0.642, 0.676)","0.672 (0.648, 0.691)","0.014 (-0.001, 0.024)",,,,ns,NA,ns|NA
Neuro,phecode_326,Demyelinating diseases of the central nervous system,"0.593 (0.551, 0.625)","0.608 (0.572, 0.643)","0.014 (-0.001, 0.039)",,,,ns,NA,ns|NA
Musc/Skel,phecode_700-2,Sicca syndrome [Sjogren syndrome],"0.749 (0.716, 0.791)","0.766 (0.738, 0.803)","0.015 (-0.008, 0.038)",,,,ns,NA,ns|NA
Blood,phecode_169,Platelet defects,"0.654 (0.633, 0.673)","0.669 (0.651, 0.685)","0.015 (-0.001, 0.029)",,,,ns,NA,ns|NA
Resp,phecode_479-6,Pulmonary collapse [Atelectasis],"0.644 (0.629, 0.658)","0.658 (0.643, 0.674)","0.015 (0.003, 0.026)",,,,+,NA,+|NA
Blood,phecode_168,"Coagulation defects, purpura and other hemorrhagic conditions","0.584 (0.553, 0.604)","0.597 (0.57, 0.625)","0.015 (-0.006, 0.037)",,,,ns,NA,ns|NA
GI,phecode_515,Heartburn and epigastric pain,"0.516 (0.49, 0.546)","0.53 (0.504, 0.563)","0.015 (-0.004, 0.042)",,,,ns,NA,ns|NA
Mental,phecode_283-8,Other problems related to lifestyle,"0.563 (0.549, 0.575)","0.578 (0.564, 0.587)","0.015 (0.007, 0.021)",,,,+,NA,+|NA
Musc/Skel,phecode_711,Disorder of patella,"0.515 (0.505, 0.527)","0.531 (0.521, 0.543)","0.015 (0.004, 0.029)",,,,+,NA,+|NA
GI,phecode_513-1,Esophageal ulcer,"0.594 (0.576, 0.621)","0.61 (0.588, 0.63)","0.016 (0.001, 0.028)",,,,+,NA,+|NA
GI,phecode_525,Intestinal malabsorption,"0.533 (0.512, 0.561)","0.549 (0.519, 0.573)","0.016 (-0.008, 0.029)",,,,ns,NA,ns|NA
Hearing,phecode_395-1,Labyrinthitis,"0.535 (0.476, 0.578)","0.551 (0.498, 0.61)","0.016 (-0.013, 0.061)",,,,ns,NA,ns|NA
Derm,phecode_682-11,Sebaceous cyst [Epidermal cyst],"0.503 (0.469, 0.535)","0.515 (0.478, 0.548)","0.016 (-0.021, 0.048)",,,,ns,NA,ns|NA
Musc/Skel,phecode_721-11,Trigger finger,"0.575 (0.553, 0.593)","0.591 (0.568, 0.615)","0.016 (-0.01, 0.032)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_841-3,Allergy to narcotic agent,"0.606 (0.587, 0.622)","0.622 (0.606, 0.639)","0.016 (0.006, 0.024)",,,,+,NA,+|NA
Signs/Symptoms,phecode_810,Shock,"0.726 (0.689, 0.759)","0.739 (0.707, 0.769)","0.017 (-0.014, 0.044)",,,,ns,NA,ns|NA
Neuro,phecode_351-3,Paresthesia of skin*,"0.466 (0.44, 0.498)","0.484 (0.461, 0.512)","0.017 (-0.01, 0.046)",,,,ns,NA,ns|NA
GI,phecode_509,Diseases of tongue,"0.508 (0.476, 0.532)","0.524 (0.489, 0.56)","0.017 (-0.009, 0.041)",,,,ns,NA,ns|NA
Eye,phecode_361-1,Entropion and trichiasis of eyelid,"0.728 (0.689, 0.761)","0.744 (0.714, 0.775)","0.017 (-0.003, 0.035)",,,,ns,NA,ns|NA
Neuro,phecode_336-1,Carpal tunnel syndrome,"0.572 (0.556, 0.587)","0.589 (0.573, 0.6)","0.017 (0.005, 0.027)",,,,+,NA,+|NA
Resp,phecode_481,Interstitial pulmonary diseases,"0.73 (0.712, 0.751)","0.747 (0.726, 0.771)","0.017 (0.003, 0.029)",,,,+,NA,+|NA
Genitourinary,phecode_584,Renal failure,"0.702 (0.675, 0.724)","0.719 (0.693, 0.743)","0.017 (-0.002, 0.037)",,,,ns,NA,ns|NA
Cardio,phecode_440-13,Phlebitis and thrombophlebitis,"0.589 (0.573, 0.606)","0.608 (0.59, 0.622)","0.017 (0.01, 0.028)",,,,+,NA,+|NA
Neuro,phecode_341,Cerebral palsy and other paralytic syndromes,"0.662 (0.643, 0.687)","0.679 (0.662, 0.698)","0.017 (-0.001, 0.031)",,,,ns,NA,ns|NA
Genitourinary,phecode_594-32,Stress incontinence,"0.691 (0.675, 0.706)","0.707 (0.696, 0.721)","0.018 (0.004, 0.031)",,,,+,NA,+|NA
Neoplasms,phecode_116-5,Secondary malignancy of brain/spine,"0.622 (0.6, 0.65)","0.641 (0.618, 0.663)","0.018 (-0.007, 0.039)",,,,ns,NA,ns|NA
Neoplasms,phecode_106-3,Malignant neoplasm of the ovary,"0.598 (0.562, 0.632)","0.615 (0.584, 0.646)","0.018 (0, 0.04)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_805,Fever of unknown origin,"0.569 (0.555, 0.581)","0.586 (0.57, 0.6)","0.018 (0.005, 0.028)",,,,+,NA,+|NA
Cardio,phecode_414,Cardiomyopathy,"0.672 (0.655, 0.692)","0.69 (0.673, 0.712)","0.018 (0.003, 0.028)",,,,+,NA,+|NA
Cardio,phecode_440-2,Arterial embolism and thrombosis,"0.704 (0.681, 0.728)","0.722 (0.699, 0.744)","0.018 (0.004, 0.033)",,,,+,NA,+|NA
Blood,phecode_160-2,Megaloblastic anemia,"0.654 (0.624, 0.677)","0.671 (0.643, 0.704)","0.019 (-0.007, 0.041)",,,,ns,NA,ns|NA
Musc/Skel,phecode_716-3,Spinal disc displacement (herniation),"0.551 (0.535, 0.567)","0.57 (0.556, 0.589)","0.019 (0.007, 0.031)",,,,+,NA,+|NA
Derm,phecode_674,Disorders of pigmentation,"0.503 (0.471, 0.531)","0.519 (0.486, 0.556)","0.019 (-0.016, 0.052)",,,,ns,NA,ns|NA
Resp,phecode_463,Rhinitis and nasal congestion,"0.452 (0.437, 0.469)","0.47 (0.457, 0.489)","0.019 (0.004, 0.035)",,,,+,NA,+|NA
Neuro,phecode_335,Nerve root and plexus disorders,"0.559 (0.54, 0.572)","0.577 (0.563, 0.592)","0.019 (0.005, 0.033)",,,,+,NA,+|NA
Musc/Skel,phecode_715-4,Spinal stenosis,"0.648 (0.636, 0.661)","0.669 (0.653, 0.682)","0.019 (0.011, 0.03)",,,,+,NA,+|NA
Genitourinary,phecode_581,Renal tubulo-interstitial diseases,"0.577 (0.56, 0.598)","0.597 (0.584, 0.616)","0.019 (0.007, 0.032)",,,,+,NA,+|NA
Musc/Skel,phecode_728,Chondropathies,"0.492 (0.464, 0.517)","0.511 (0.475, 0.541)","0.02 (-0.004, 0.043)",,,,ns,NA,ns|NA
Neuro,phecode_348,Other diseases of spinal cord,"0.619 (0.594, 0.641)","0.637 (0.614, 0.668)","0.02 (-0.001, 0.043)",,,,ns,NA,ns|NA
