phecode_category,phecode, phecode_string, 1_,2_,3_,4_,5_,6_,7_,8_,9_,10_,1,2,3,4,5,6,7,8,9,10, rr
Neuro,phecode_330,"Epilepsy, recurrent seizures, convulsions",43,35,48,45,61,68,86,78,81,103,0.007,0.006,0.008,0.007,0.01,0.011,0.014,0.013,0.013,0.017,2.396
Neuro,phecode_353,Symptoms and signs involving general sensations and perceptions,60,88,70,85,115,108,116,130,120,144,0.01,0.014,0.012,0.014,0.019,0.018,0.019,0.021,0.02,0.024,2.4
Resp,phecode_494,Voice disturbance,62,88,114,129,133,131,138,147,151,149,0.01,0.015,0.019,0.021,0.022,0.022,0.023,0.024,0.025,0.025,2.404
Resp,phecode_488,Abnormalities of breathing,553,592,674,715,871,875,970,981,1178,1331,0.101,0.108,0.123,0.131,0.159,0.16,0.177,0.179,0.215,0.243,2.407
GI,phecode_545,Nonspecific abnormal results of function study of liver,123,141,162,147,156,196,196,208,210,296,0.02,0.023,0.027,0.024,0.026,0.033,0.033,0.035,0.035,0.049,2.407
GI,phecode_508,Diseases of lips,39,45,58,59,59,63,75,60,79,94,0.006,0.007,0.01,0.01,0.01,0.01,0.012,0.01,0.013,0.015,2.411
Blood,phecode_177,Abnormality of the lymph nodes,117,146,185,168,203,207,235,222,218,283,0.02,0.025,0.031,0.028,0.034,0.035,0.039,0.037,0.037,0.048,2.419
Hearing,phecode_390-4,Impacted cerumen,362,483,537,589,748,800,749,841,828,881,0.066,0.087,0.097,0.107,0.135,0.145,0.136,0.152,0.15,0.159,2.434
Resp,phecode_467-1,Acute laryngitis and tracheitis,53,62,82,78,80,105,88,102,111,129,0.009,0.011,0.014,0.013,0.014,0.018,0.015,0.017,0.019,0.022,2.434
Genitourinary,phecode_624-1,Dystrophy of female genital tract,16,18,35,20,19,22,30,30,25,39,0.005,0.005,0.011,0.006,0.006,0.007,0.009,0.009,0.008,0.012,2.438
Blood,phecode_180,Other disorders involving the immune mechanism,25,22,24,26,39,35,49,54,55,61,0.004,0.004,0.004,0.004,0.006,0.006,0.008,0.009,0.009,0.01,2.44
GI,phecode_528,Nausea and vomiting,281,339,363,376,440,402,519,548,587,686,0.049,0.059,0.063,0.066,0.077,0.07,0.091,0.096,0.103,0.12,2.442
Neuro,phecode_354,Dizziness and giddiness,375,492,514,589,651,636,680,744,733,916,0.067,0.088,0.092,0.105,0.116,0.114,0.122,0.133,0.131,0.164,2.443
Hearing,phecode_398-1,Abnormal auditory function study,11,19,18,13,27,31,37,26,29,27,0.002,0.003,0.003,0.002,0.004,0.005,0.006,0.004,0.005,0.004,2.455
GI,phecode_510-5,Dyskinesia of esophagus,15,13,16,18,9,22,23,20,23,37,0.002,0.002,0.003,0.003,0.001,0.004,0.004,0.003,0.004,0.006,2.467
Musc/Skel,phecode_720,Spontaneous rupture of synovium and tendon,30,32,32,45,38,43,29,55,50,74,0.005,0.005,0.005,0.007,0.006,0.007,0.005,0.009,0.008,0.012,2.467
GI,phecode_528-1,Nausea,282,332,370,374,433,407,527,541,579,697,0.049,0.058,0.065,0.065,0.076,0.071,0.092,0.095,0.101,0.122,2.472
GI,phecode_528-2,Vomiting,279,337,357,389,429,415,517,542,586,690,0.049,0.059,0.062,0.068,0.075,0.073,0.09,0.095,0.102,0.121,2.474
Neoplasms,phecode_144-13,Benign neoplasms of the cervix,19,18,22,23,32,39,36,49,52,47,0.006,0.006,0.007,0.007,0.01,0.012,0.011,0.015,0.016,0.015,2.474
Resp,phecode_487-1,Epistaxis,89,88,117,115,141,162,182,170,180,221,0.015,0.015,0.02,0.019,0.024,0.027,0.03,0.028,0.03,0.037,2.484
Musc/Skel,phecode_718-1,Radiculopathy,66,75,100,106,119,148,137,141,140,164,0.011,0.012,0.017,0.018,0.02,0.025,0.023,0.023,0.023,0.027,2.485
GI,phecode_510,Diseases of esophagus,228,297,300,370,416,441,446,439,496,568,0.04,0.052,0.052,0.064,0.072,0.077,0.078,0.076,0.086,0.099,2.491
GI,phecode_526-2,Viral enteritis,16,10,12,12,11,15,24,19,23,40,0.003,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.004,0.007,2.5
Mental,phecode_308-7,Restlessness and agitation*,14,13,20,10,21,18,22,32,24,35,0.002,0.002,0.003,0.002,0.003,0.003,0.004,0.005,0.004,0.006,2.5
Blood,phecode_168-19,Spontaneous ecchymoses,16,20,25,17,24,30,26,27,33,40,0.003,0.003,0.004,0.003,0.004,0.005,0.004,0.004,0.005,0.007,2.5
Derm,phecode_688-3,Pyogenic granuloma of skin and subcutaneous tissue,8,13,17,14,23,8,16,16,23,20,0.001,0.002,0.003,0.002,0.004,0.001,0.003,0.003,0.004,0.003,2.5
Genitourinary,phecode_593,Hematuria,433,575,725,741,733,880,964,982,985,1086,0.076,0.101,0.127,0.13,0.129,0.154,0.169,0.172,0.173,0.191,2.509
Genitourinary,phecode_581-31,Hydronephrosis,41,36,36,63,77,71,63,83,83,103,0.007,0.006,0.006,0.01,0.013,0.012,0.01,0.014,0.014,0.017,2.513
Signs/Symptoms,phecode_808,Syncope and collapse,171,215,200,270,297,288,350,392,405,430,0.029,0.036,0.034,0.046,0.05,0.049,0.059,0.066,0.068,0.073,2.515
Metab,phecode_256-1,Hyperosmolality and/or hypernatremia,21,31,28,28,28,37,31,31,31,53,0.003,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.009,2.524
Metab,phecode_236,Overweight and obesity,364,471,530,616,608,612,684,737,797,921,0.064,0.082,0.092,0.107,0.106,0.107,0.119,0.129,0.139,0.161,2.531
GI,phecode_512,Dysphagia,126,149,179,178,226,234,262,272,310,319,0.021,0.025,0.03,0.03,0.038,0.039,0.043,0.045,0.051,0.053,2.532
Neuro,phecode_343,Disorders of autonomic nervous system,15,8,19,16,17,22,22,28,27,38,0.002,0.001,0.003,0.003,0.003,0.004,0.004,0.005,0.004,0.006,2.534
Neuro,phecode_352-1,Anosmia*,15,22,21,22,26,15,37,18,13,38,0.002,0.004,0.003,0.004,0.004,0.002,0.006,0.003,0.002,0.006,2.534
Eye,phecode_367-52,Iridocyclitis,30,24,26,22,23,30,35,37,60,76,0.005,0.004,0.004,0.004,0.004,0.005,0.006,0.006,0.01,0.013,2.534
Rx,phecode_969,Adverse effects of agents primarily affecting gastrointestinal system,224,251,287,349,391,412,434,487,488,568,0.04,0.044,0.051,0.062,0.069,0.073,0.077,0.086,0.086,0.101,2.536
Cardio,phecode_444,Venous insufficiency,145,168,170,238,244,295,299,330,324,369,0.025,0.029,0.03,0.042,0.043,0.052,0.052,0.058,0.057,0.064,2.545
Cardio,phecode_401-6,Secondary hypertension,22,11,32,38,46,53,70,62,60,56,0.004,0.002,0.005,0.006,0.008,0.009,0.011,0.01,0.01,0.009,2.546
Metab,phecode_237,Abnormal weight gain,20,27,32,41,35,44,37,39,43,51,0.003,0.004,0.005,0.007,0.006,0.007,0.006,0.006,0.007,0.008,2.55
Eye,phecode_379-21,"Infection of the eye, herpes",9,8,9,11,14,21,21,14,25,23,0.001,0.001,0.001,0.002,0.002,0.003,0.003,0.002,0.004,0.004,2.556
Neuro,phecode_330-11,Generalized epilepsy,9,11,11,8,15,12,13,15,20,23,0.001,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.003,0.004,2.556
Genitourinary,phecode_594,Abnormality of urination,456,617,648,696,809,914,965,983,1045,1166,0.085,0.114,0.12,0.129,0.15,0.17,0.179,0.182,0.194,0.216,2.557
Neoplasms,phecode_110,Malignant neoplasm of the endocrine glands,7,13,9,7,10,12,12,6,8,18,0.001,0.002,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.003,2.572
Metab,phecode_236-1,Obesity,358,474,522,620,590,638,687,714,797,924,0.062,0.083,0.091,0.108,0.103,0.111,0.12,0.125,0.139,0.161,2.581
ID,phecode_089-1,Bacterial infections,263,295,297,342,362,412,407,473,517,679,0.047,0.052,0.053,0.061,0.064,0.073,0.072,0.084,0.092,0.12,2.582
Derm,phecode_662,Rosacea,83,130,129,155,128,171,163,178,178,215,0.014,0.022,0.022,0.026,0.022,0.029,0.027,0.03,0.03,0.036,2.591
ID,phecode_084,Parasites,20,16,23,28,22,28,24,30,24,52,0.003,0.003,0.004,0.005,0.004,0.005,0.004,0.005,0.004,0.009,2.6
GI,phecode_506,Diseases of salivary glands,53,73,84,87,84,117,117,102,132,138,0.009,0.012,0.014,0.014,0.014,0.019,0.019,0.017,0.022,0.023,2.604
GI,phecode_522-9,Gastritis,255,335,398,428,450,473,479,538,590,664,0.044,0.058,0.069,0.074,0.078,0.081,0.083,0.093,0.102,0.114,2.604
GI,phecode_524,Functional intestinal disorder,71,106,112,126,122,136,136,148,171,185,0.012,0.017,0.018,0.021,0.02,0.022,0.022,0.024,0.028,0.03,2.606
GI,phecode_546,Other disorders of liver,56,59,64,73,95,98,130,129,146,146,0.009,0.01,0.01,0.012,0.016,0.016,0.021,0.021,0.024,0.024,2.607
Rx,phecode_977,Long term (current) drug therapy,350,388,416,457,506,520,554,602,683,913,0.065,0.072,0.077,0.084,0.093,0.096,0.102,0.111,0.126,0.168,2.609
GI,phecode_514-1,Esophageal obstruction (Stricture and stenosis of esophagus),26,16,27,40,50,60,55,57,67,68,0.004,0.003,0.004,0.007,0.008,0.01,0.009,0.009,0.011,0.011,2.616
Neuro,phecode_330-1,Epilepsy,26,29,32,33,39,37,54,50,49,68,0.004,0.005,0.005,0.005,0.006,0.006,0.009,0.008,0.008,0.011,2.616
Signs/Symptoms,phecode_819,General symptoms and other findings,619,719,847,839,990,1142,1171,1239,1408,1620,0.113,0.131,0.154,0.153,0.18,0.208,0.213,0.225,0.256,0.295,2.618
Resp,phecode_487,Hemorrhage from respiratory passages,113,119,160,163,180,193,234,243,265,297,0.019,0.02,0.027,0.027,0.03,0.032,0.039,0.041,0.045,0.05,2.629
Eye,phecode_367-5,Uveitis,30,25,24,21,25,31,36,38,54,79,0.005,0.004,0.004,0.003,0.004,0.005,0.006,0.006,0.009,0.013,2.634
Neoplasms,phecode_149,Benign neoplasm of the endocrine glands,11,14,16,15,24,29,32,20,29,29,0.002,0.002,0.003,0.002,0.004,0.005,0.005,0.003,0.005,0.005,2.637
Mental,phecode_308-4,Demoralization and apathy,14,4,13,13,18,12,19,21,25,37,0.002,0.001,0.002,0.002,0.003,0.002,0.003,0.003,0.004,0.006,2.643
Musc/Skel,phecode_707-8,Polyarthritis,14,19,18,19,20,44,20,36,34,37,0.002,0.003,0.003,0.003,0.003,0.007,0.003,0.006,0.006,0.006,2.643
Signs/Symptoms,phecode_826-3,Raised antibody titer*,17,14,21,17,20,19,17,21,18,45,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.008,2.648
Genitourinary,phecode_593-2,Microscopic hematuria,40,57,52,77,83,66,81,84,83,106,0.007,0.009,0.009,0.013,0.014,0.011,0.013,0.014,0.014,0.017,2.65
Neoplasms,phecode_148,"Benign neoplasm of the eye, brain and other parts of central nervous system",21,19,28,42,42,42,51,49,44,56,0.003,0.003,0.005,0.007,0.007,0.007,0.008,0.008,0.007,0.009,2.667
GI,phecode_540-1,Chronic hepatitis,6,7,9,7,16,14,8,15,24,16,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.002,0.004,0.003,2.667
Genitourinary,phecode_581-3,Obstructive and reflux uropathy,43,41,40,65,86,81,86,101,96,115,0.007,0.007,0.007,0.011,0.014,0.013,0.014,0.017,0.016,0.019,2.675
Signs/Symptoms,phecode_841-11,Penicillin allergy,175,251,243,310,311,355,386,371,412,472,0.029,0.042,0.041,0.052,0.052,0.059,0.065,0.062,0.069,0.079,2.698
Cardio,phecode_444-11,Varicose veins of lower extremities,119,125,168,199,241,235,268,273,289,321,0.021,0.022,0.029,0.035,0.042,0.041,0.047,0.047,0.05,0.056,2.698
Mental,phecode_281,"Substance abuse, dependence, and withdrawl",223,259,304,311,320,354,396,464,516,602,0.047,0.055,0.064,0.066,0.068,0.075,0.084,0.098,0.109,0.128,2.7
Neuro,phecode_331-1,Tension headache,50,53,54,75,66,64,71,69,83,135,0.008,0.009,0.009,0.012,0.011,0.011,0.012,0.011,0.014,0.022,2.7
Musc/Skel,phecode_719,Disorders of muscle,130,160,157,205,232,239,231,281,313,351,0.022,0.027,0.026,0.034,0.039,0.04,0.039,0.047,0.052,0.059,2.7
ID,phecode_007,Hemophilus infection,7,2,9,3,13,10,12,16,16,19,0.001,0,0.001,0,0.002,0.002,0.002,0.003,0.003,0.003,2.714
Blood,phecode_176,Other diseases of blood and blood-forming organs,21,36,42,38,37,47,50,57,61,57,0.003,0.006,0.007,0.006,0.006,0.008,0.008,0.009,0.01,0.009,2.715
Rx,phecode_977-41,Long term (current) use of inhaled steroids*,29,39,40,47,47,49,63,47,70,79,0.005,0.006,0.007,0.008,0.008,0.008,0.01,0.008,0.011,0.013,2.725
Mental,phecode_284-29,Intentional self-harm*,15,17,18,20,20,13,23,19,17,41,0.002,0.003,0.003,0.003,0.003,0.002,0.004,0.003,0.003,0.007,2.734
GI,phecode_524-1,Irritable bowel syndrome,62,87,91,109,119,114,133,115,147,170,0.01,0.014,0.015,0.018,0.02,0.019,0.022,0.019,0.024,0.028,2.742
Mental,phecode_288-4,Phobic disorders,44,44,67,65,51,65,64,70,82,121,0.007,0.007,0.011,0.011,0.008,0.011,0.011,0.012,0.014,0.02,2.75
Neoplasms,phecode_109-3,Malignant neoplasm of brain,12,5,5,10,11,16,26,14,19,33,0.002,0.001,0.001,0.002,0.002,0.003,0.004,0.002,0.003,0.005,2.75
Derm,phecode_668-5,Lichen simplex chronicus,16,19,16,19,23,25,23,31,28,44,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.007,2.75
GI,phecode_520-2,Diaphragmatic hernia [Hiatal hernia],237,245,318,333,465,435,517,535,566,654,0.041,0.042,0.055,0.057,0.08,0.075,0.089,0.092,0.097,0.112,2.76
GI,phecode_542,Chronic liver disease and sequelae,121,158,170,183,201,222,198,258,277,336,0.02,0.026,0.028,0.03,0.033,0.037,0.033,0.043,0.046,0.055,2.777
Metab,phecode_251,Disorders of bilirubin excretion,9,11,12,13,14,19,34,22,23,25,0.001,0.002,0.002,0.002,0.002,0.003,0.006,0.004,0.004,0.004,2.778
Signs/Symptoms,phecode_830,Proteinuria,320,411,481,541,547,605,660,693,790,889,0.055,0.071,0.083,0.093,0.094,0.104,0.114,0.119,0.136,0.153,2.779
Musc/Skel,phecode_709,Acquired deformities of fingers and toes,128,179,173,208,213,251,262,311,324,357,0.022,0.031,0.029,0.035,0.036,0.043,0.045,0.053,0.055,0.061,2.79
Rx,phecode_977-4,Long term (current) use of steroids,29,36,45,49,43,54,51,59,63,81,0.005,0.006,0.007,0.008,0.007,0.009,0.008,0.01,0.01,0.013,2.794
Musc/Skel,phecode_710-4,Acquired deformities of the ankle and foot,34,32,35,53,65,60,68,67,85,95,0.006,0.005,0.006,0.009,0.011,0.01,0.011,0.011,0.014,0.016,2.795
ID,phecode_099,Lab findings related to infections,39,56,64,66,63,90,98,87,104,109,0.006,0.009,0.011,0.011,0.01,0.015,0.016,0.014,0.017,0.018,2.795
Eye,phecode_377,Hemorrhage of the eye,83,97,130,152,168,188,168,196,207,232,0.014,0.016,0.022,0.025,0.028,0.031,0.028,0.033,0.034,0.039,2.796
GI,phecode_516,Other diseases of stomach and duodenum,44,40,37,56,54,66,84,80,90,123,0.007,0.007,0.006,0.009,0.009,0.011,0.014,0.013,0.015,0.02,2.796
Neoplasms,phecode_136,Benign neoplasm of the digestive organs,304,445,483,491,542,643,698,719,756,852,0.051,0.075,0.082,0.083,0.092,0.109,0.118,0.121,0.128,0.144,2.803
Musc/Skel,phecode_710,Acquired deformities of limbs,47,58,53,81,88,107,105,120,118,132,0.008,0.01,0.009,0.013,0.015,0.018,0.017,0.02,0.019,0.022,2.809
Mental,phecode_280,Substance related disorders,131,157,154,214,238,241,273,285,352,368,0.022,0.026,0.026,0.036,0.04,0.04,0.046,0.048,0.059,0.062,2.81
Derm,phecode_683-2,Nail dystrophy*,11,17,15,14,9,14,22,23,33,31,0.002,0.003,0.002,0.002,0.001,0.002,0.004,0.004,0.005,0.005,2.819
GI,phecode_530-2,Anorectal abscess,11,10,10,15,20,5,13,20,28,31,0.002,0.002,0.002,0.002,0.003,0.001,0.002,0.003,0.005,0.005,2.819
Musc/Skel,phecode_705-1,Rheumatoid arthritis,44,48,63,73,75,67,110,115,101,124,0.007,0.008,0.01,0.012,0.012,0.011,0.018,0.019,0.017,0.02,2.819
Musc/Skel,phecode_710-32,Genu varum (acquired),6,3,5,5,10,12,11,17,16,17,0.001,0,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,2.834
Derm,phecode_680-1,Corns and callosities,44,54,77,63,91,82,100,102,101,125,0.007,0.009,0.013,0.01,0.015,0.014,0.016,0.017,0.017,0.021,2.841
Mental,phecode_308-1,Irritability,7,11,8,12,14,17,17,19,10,20,0.001,0.002,0.001,0.002,0.002,0.003,0.003,0.003,0.002,0.003,2.858
Neoplasms,phecode_136-4,"Benign neoplasm of colon, rectum, anus and anal canal",263,384,381,392,453,517,590,583,688,753,0.044,0.065,0.064,0.066,0.076,0.087,0.099,0.098,0.116,0.127,2.864
Neoplasms,phecode_106-21,Malignant neoplasm of endometrium,8,13,23,17,22,24,25,35,25,23,0.002,0.004,0.007,0.005,0.007,0.007,0.008,0.011,0.008,0.007,2.875
Signs/Symptoms,phecode_803,Snoring*,33,39,44,43,43,59,74,45,70,95,0.005,0.006,0.007,0.007,0.007,0.01,0.012,0.007,0.012,0.016,2.879
Cardio,phecode_440-13,Phlebitis and thrombophlebitis,83,103,121,136,151,196,207,190,209,239,0.014,0.017,0.02,0.023,0.025,0.033,0.035,0.032,0.035,0.04,2.88
Musc/Skel,phecode_709-22,Hallux rigidus,17,22,30,34,30,46,40,36,36,49,0.003,0.004,0.005,0.006,0.005,0.008,0.007,0.006,0.006,0.008,2.882
Hearing,phecode_394,Disorders of vestibular function,102,146,162,180,189,188,197,214,244,294,0.017,0.024,0.027,0.03,0.032,0.031,0.033,0.036,0.041,0.049,2.883
Neuro,phecode_324,Extrapyramidal and movement disorders,129,151,193,215,239,274,310,320,320,372,0.022,0.025,0.033,0.036,0.04,0.046,0.052,0.054,0.054,0.063,2.884
Neoplasms,phecode_136-42,Benign neoplasm of rectum and anus,113,134,166,158,178,195,237,233,249,327,0.019,0.022,0.027,0.026,0.029,0.032,0.039,0.039,0.041,0.054,2.894
Mental,phecode_281-2,Substance dependence,185,204,249,256,277,297,352,412,444,539,0.039,0.043,0.052,0.054,0.058,0.063,0.074,0.087,0.094,0.114,2.914
Blood,phecode_168,"Coagulation defects, purpura and other hemorrhagic conditions",47,47,55,50,73,87,102,104,110,137,0.008,0.008,0.009,0.008,0.012,0.014,0.017,0.017,0.018,0.023,2.915
Neuro,phecode_342,Plegia and unspecified paralysis,13,20,25,26,35,35,20,31,34,38,0.002,0.003,0.004,0.004,0.006,0.006,0.003,0.005,0.006,0.006,2.924
Genitourinary,phecode_596,Other disorders of bladder,118,153,171,190,201,251,260,292,375,345,0.02,0.026,0.029,0.032,0.034,0.042,0.043,0.049,0.063,0.058,2.924
Neuro,phecode_347,Other disorders of the brain and CNS,14,15,17,19,23,32,37,40,38,41,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.007,0.006,0.007,2.929
Neoplasms,phecode_136-41,Benign neoplasm of the colon,214,273,295,350,388,457,496,544,580,634,0.036,0.045,0.049,0.058,0.065,0.076,0.083,0.091,0.097,0.106,2.963
Resp,phecode_496,Abnormal results of pulmonary function studies,78,72,106,118,109,150,133,158,175,232,0.013,0.012,0.018,0.02,0.018,0.025,0.022,0.026,0.029,0.038,2.975
Hearing,phecode_394-2,Vertigo,87,129,136,158,137,150,138,210,178,259,0.014,0.021,0.023,0.026,0.023,0.025,0.023,0.035,0.029,0.043,2.978
Signs/Symptoms,phecode_841-1,Allergy to other anti-infective agents,207,311,320,346,386,395,479,489,553,619,0.035,0.052,0.054,0.058,0.065,0.066,0.081,0.082,0.093,0.104,2.991
Neoplasms,phecode_149-3,Benign neoplasm of the parathyroid gland,4,4,8,9,8,15,16,15,18,12,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.002,0.003,0.002,3
GI,phecode_523-1,Diverticula of small intestine,5,6,5,6,13,16,20,22,17,15,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.004,0.003,0.002,3
ID,phecode_007-1,Hemophilus influenzae,6,4,6,5,11,10,12,13,18,18,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,3
Neuro,phecode_323,Systemic atrophies primarily affecting the central nervous system,5,6,9,21,19,17,16,10,12,15,0.001,0.001,0.001,0.003,0.003,0.003,0.003,0.002,0.002,0.002,3
Cardio,phecode_452,"Hemorrhage, NOS",13,20,23,26,21,25,32,30,40,39,0.002,0.003,0.004,0.004,0.003,0.004,0.005,0.005,0.007,0.006,3
Eye,phecode_363-7,Stenosis and insufficiency of lacrimal passages,9,10,16,9,28,17,22,32,23,27,0.001,0.002,0.003,0.001,0.005,0.003,0.004,0.005,0.004,0.004,3
Neuro,phecode_334-11,Trigeminal neuralgia,14,23,29,29,28,32,35,31,35,42,0.002,0.004,0.005,0.005,0.005,0.005,0.006,0.005,0.006,0.007,3
GI,phecode_520,Hernia,346,408,472,588,656,740,824,868,944,1038,0.063,0.074,0.086,0.107,0.119,0.135,0.15,0.158,0.172,0.189,3.001
Neoplasms,phecode_144,Gynecological benign neoplasms,128,115,103,142,156,161,183,241,255,385,0.044,0.04,0.035,0.049,0.054,0.055,0.063,0.083,0.088,0.132,3.008
Cardio,phecode_417-3,Bradycardia*,81,71,104,109,141,145,155,181,222,244,0.013,0.012,0.017,0.018,0.023,0.024,0.025,0.03,0.036,0.04,3.013
ID,phecode_004,Streptococcus,29,24,33,33,45,39,62,57,84,88,0.005,0.004,0.005,0.005,0.007,0.006,0.01,0.009,0.014,0.015,3.035
GI,phecode_522-8,Duodenitis,62,66,95,119,100,124,142,134,144,190,0.01,0.011,0.016,0.02,0.017,0.021,0.024,0.022,0.024,0.031,3.065
Musc/Skel,phecode_719-1,Cramp and spasm,88,102,110,155,165,161,165,183,202,270,0.015,0.017,0.018,0.026,0.027,0.027,0.027,0.03,0.034,0.045,3.069
Endo,phecode_200,Disorders of thyroid gland,138,183,216,313,317,312,382,414,422,425,0.024,0.032,0.038,0.055,0.055,0.054,0.067,0.072,0.074,0.074,3.08
Blood,phecode_174,Diseases of spleen,12,13,18,18,24,27,21,43,41,37,0.002,0.002,0.003,0.003,0.004,0.004,0.003,0.007,0.007,0.006,3.084
ID,phecode_015,Clostridium,12,5,13,17,14,19,30,20,31,37,0.002,0.001,0.002,0.003,0.002,0.003,0.005,0.003,0.005,0.006,3.084
GI,phecode_535,Intestinal or peritoneal adhesions,45,60,68,77,84,84,93,88,96,139,0.007,0.01,0.011,0.013,0.014,0.014,0.015,0.014,0.016,0.023,3.089
Resp,phecode_487-3,Hemoptysis,33,38,34,44,49,63,53,79,77,102,0.005,0.006,0.006,0.007,0.008,0.01,0.009,0.013,0.013,0.017,3.091
Derm,phecode_670,Seborrheic keratosis,21,41,48,48,82,79,74,86,62,65,0.003,0.007,0.008,0.008,0.013,0.013,0.012,0.014,0.01,0.011,3.095
GI,phecode_558,Abnormal findings on diagnostic imaging of the digestive tract,74,93,113,129,140,161,167,195,215,231,0.012,0.015,0.019,0.021,0.023,0.027,0.028,0.032,0.036,0.038,3.122
Neuro,phecode_344,Disorders of the circulation of the cerebrospinal fluid,8,8,10,12,13,16,17,16,23,25,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,3.126
Eye,phecode_366-1,Pterygium of eye,8,6,5,10,16,9,17,8,9,25,0.001,0.001,0.001,0.002,0.003,0.001,0.003,0.001,0.001,0.004,3.126
Neoplasms,phecode_106-2,Malignant neoplasm of the uterus,8,14,25,19,21,26,27,33,28,25,0.002,0.004,0.008,0.006,0.006,0.008,0.008,0.01,0.008,0.008,3.126
GI,phecode_513-1,Esophageal ulcer,22,15,29,31,34,43,48,68,59,69,0.004,0.002,0.005,0.005,0.006,0.007,0.008,0.011,0.01,0.011,3.137
Cardio,phecode_416-51,Atrial premature depolarization [Supraventricular premature beats],7,7,7,11,19,21,34,24,29,22,0.001,0.001,0.001,0.002,0.003,0.003,0.006,0.004,0.005,0.004,3.143
ID,phecode_088,Sexually transmitted disease,13,16,13,23,25,18,25,29,45,41,0.002,0.003,0.002,0.004,0.004,0.003,0.004,0.005,0.007,0.007,3.154
Neuro,phecode_324-8,Restless legs syndrome,18,19,46,30,45,46,34,50,68,57,0.003,0.003,0.008,0.005,0.007,0.008,0.006,0.008,0.011,0.009,3.167
Metab,phecode_230,Malnutrition and underweight,168,178,202,244,266,312,378,381,404,532,0.028,0.029,0.033,0.04,0.044,0.052,0.063,0.063,0.067,0.088,3.167
Mental,phecode_280-1,Alcohol use disorders,114,163,136,200,203,230,265,275,319,361,0.019,0.027,0.023,0.033,0.034,0.038,0.044,0.046,0.053,0.06,3.167
Signs/Symptoms,phecode_841,Drug and medical agent allergy,331,437,495,564,577,701,759,843,888,1050,0.058,0.076,0.086,0.098,0.101,0.122,0.132,0.147,0.155,0.183,3.173
Musc/Skel,phecode_713-2,Effusion of joint,121,151,192,210,219,245,304,318,330,384,0.02,0.025,0.032,0.035,0.037,0.041,0.051,0.053,0.055,0.065,3.174
GI,phecode_513-3,Duodenal ulcer,22,25,22,34,37,38,39,48,56,70,0.004,0.004,0.004,0.006,0.006,0.006,0.006,0.008,0.009,0.012,3.182
Metab,phecode_256,"Disorders of fluid, electrolyte and acid-base balance",261,274,360,383,433,473,519,619,662,833,0.043,0.045,0.06,0.063,0.072,0.078,0.086,0.102,0.109,0.138,3.192
Neoplasms,phecode_124-5,Essential thrombocythemia,5,2,5,11,7,11,16,14,16,16,0.001,0,0.001,0.002,0.001,0.002,0.003,0.002,0.003,0.003,3.201
Derm,phecode_674-11,Vitiligo,10,17,7,10,7,9,6,5,13,32,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.005,3.201
Resp,phecode_488-1,Dyspnea [Shortness of breath],385,443,509,572,706,761,805,861,1038,1237,0.067,0.077,0.088,0.099,0.123,0.132,0.14,0.15,0.18,0.215,3.214
Neoplasms,phecode_122,Lymphoma,14,11,16,16,34,49,41,44,59,45,0.002,0.002,0.003,0.003,0.006,0.008,0.007,0.007,0.01,0.007,3.215
Mental,phecode_284-2,Suicide and self-inflicted harm,13,20,17,20,17,18,18,22,19,42,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.007,3.231
Musc/Skel,phecode_708,Osteoarthritis,514,713,875,1047,1163,1219,1352,1472,1569,1668,0.098,0.136,0.167,0.2,0.222,0.233,0.258,0.281,0.3,0.318,3.246
Cardio,phecode_440,Embolism and thrombosis,152,184,223,232,293,321,375,404,396,494,0.026,0.031,0.038,0.039,0.05,0.055,0.064,0.069,0.067,0.084,3.25
Neoplasms,phecode_122-22,Diffuse large B-cell lymphoma*,4,2,3,9,16,22,18,14,20,13,0.001,0,0,0.001,0.003,0.004,0.003,0.002,0.003,0.002,3.251
Neuro,phecode_346,Brain damage and brain death,8,12,13,11,26,17,14,21,17,26,0.001,0.002,0.002,0.002,0.004,0.003,0.002,0.003,0.003,0.004,3.251
Mental,phecode_282-1,Current tobacco use and nicotine dependence,135,158,166,183,204,238,266,311,315,439,0.026,0.031,0.033,0.036,0.04,0.047,0.052,0.061,0.062,0.086,3.252
Hearing,phecode_394-21,Paroxysmal vertigo,68,111,117,131,116,120,131,170,157,223,0.011,0.018,0.019,0.022,0.019,0.02,0.022,0.028,0.026,0.037,3.279
