phecode_category,endpoint,phecode_string,ukb_agesex,ukb_agesexretina,ukb_delta
Hearing,phecode_391-1,Otitis media,"0.527 (0.516, 0.536)","0.532 (0.522, 0.54)","0.005 (-0.002, 0.014)"
Cardio,phecode_413-21,Aortic stenosis,"0.755 (0.741, 0.765)","0.758 (0.747, 0.772)","0.005 (-0.002, 0.012)"
Mental,phecode_308,Signs and symptoms involving emotional state,"0.564 (0.557, 0.571)","0.569 (0.561, 0.576)","0.005 (-0.002, 0.01)"
Metab,phecode_256-2,Hyposmolality and/or hyponatremia,"0.534 (0.524, 0.546)","0.539 (0.531, 0.55)","0.005 (-0.001, 0.013)"
Cardio,phecode_431,Stroke and transient cerebral ischemic attacks,"0.689 (0.679, 0.696)","0.693 (0.686, 0.701)","0.005 (-0.001, 0.01)"
Mental,phecode_294,Sexual dysfunction and disorders,"0.786 (0.782, 0.791)","0.791 (0.786, 0.795)","0.004 (0.003, 0.006)"
Derm,phecode_679,Skin symptoms,"0.536 (0.532, 0.541)","0.541 (0.537, 0.545)","0.004 (0.002, 0.007)"
Cardio,phecode_404,Ischemic heart disease,"0.69 (0.683, 0.695)","0.694 (0.687, 0.699)","0.004 (0.001, 0.008)"
Musc/Skel,phecode_703,Chrystal arthropathies,"0.698 (0.691, 0.704)","0.702 (0.695, 0.71)","0.004 (0.001, 0.008)"
Neoplasms,phecode_136-41,Benign neoplasm of the colon,"0.601 (0.595, 0.607)","0.606 (0.599, 0.612)","0.004 (0.001, 0.008)"
Eye,phecode_363,Disorders of lacrimal system,"0.634 (0.628, 0.64)","0.638 (0.632, 0.644)","0.004 (0.001, 0.007)"
Signs/Symptoms,phecode_819,General symptoms and other findings,"0.582 (0.577, 0.586)","0.586 (0.581, 0.59)","0.004 (0.001, 0.007)"
Signs/Symptoms,phecode_829,Nonspecific findings on examination of blood,"0.652 (0.646, 0.659)","0.656 (0.65, 0.664)","0.004 (0.001, 0.006)"
Derm,phecode_675,Atrophic conditions of skin,"0.716 (0.704, 0.726)","0.72 (0.709, 0.73)","0.004 (0, 0.008)"
Derm,phecode_675-1,Circumscribed scleroderma,"0.716 (0.704, 0.727)","0.72 (0.708, 0.734)","0.004 (0, 0.008)"
Resp,phecode_465-1,Acute Pharyngitis,"0.561 (0.555, 0.567)","0.566 (0.558, 0.573)","0.004 (0, 0.008)"
Eye,phecode_363-2,Dry eye syndrome [Tear film insufficiency],"0.64 (0.634, 0.648)","0.644 (0.638, 0.653)","0.004 (0, 0.007)"
Mental,phecode_280-8,Other psychoactive substance related disorders,"0.598 (0.553, 0.638)","0.598 (0.565, 0.643)","0.004 (-0.029, 0.042)"
Neoplasms,phecode_101-6,Malignant neoplasm of the liver and intrahepatic bile ducts,"0.719 (0.685, 0.752)","0.725 (0.678, 0.76)","0.004 (-0.022, 0.028)"
Cardio,phecode_406-1,Pulmonary hypertension,"0.745 (0.724, 0.761)","0.747 (0.725, 0.768)","0.004 (-0.013, 0.023)"
Neuro,phecode_324-8,Restless legs syndrome,"0.592 (0.572, 0.613)","0.597 (0.58, 0.618)","0.004 (-0.01, 0.023)"
Endo,phecode_200-22,Uninodular goiter [single thyroid nodule],"0.628 (0.603, 0.651)","0.631 (0.604, 0.651)","0.004 (-0.01, 0.012)"
GI,phecode_550-4,Cholesterolosis of gallbladder,"0.582 (0.545, 0.613)","0.586 (0.553, 0.615)","0.004 (-0.009, 0.018)"
Hearing,phecode_390-6,Perichondritis and chondritis of pinna,"0.678 (0.651, 0.7)","0.68 (0.656, 0.703)","0.004 (-0.008, 0.016)"
Neuro,phecode_349,Disorder of nervous system,"0.603 (0.587, 0.616)","0.607 (0.59, 0.62)","0.004 (-0.008, 0.016)"
Cardio,phecode_423,Abnormal cardiac sounds,"0.642 (0.626, 0.656)","0.645 (0.63, 0.661)","0.004 (-0.008, 0.015)"
Blood,phecode_170-1,Neutropenia,"0.585 (0.573, 0.599)","0.589 (0.577, 0.603)","0.004 (-0.008, 0.013)"
Hearing,phecode_397-1,Tinnitus,"0.503 (0.493, 0.514)","0.507 (0.497, 0.515)","0.004 (-0.007, 0.016)"
GI,phecode_557-2,Blood in stool,"0.621 (0.608, 0.64)","0.626 (0.611, 0.642)","0.004 (-0.007, 0.015)"
Blood,phecode_169,Platelet defects,"0.666 (0.649, 0.68)","0.669 (0.654, 0.684)","0.004 (-0.006, 0.016)"
Derm,phecode_674-2,Hypepigmentation,"0.587 (0.569, 0.609)","0.593 (0.573, 0.613)","0.004 (-0.006, 0.014)"
Musc/Skel,phecode_720,Spontaneous rupture of synovium and tendon,"0.605 (0.589, 0.63)","0.608 (0.593, 0.633)","0.004 (-0.006, 0.011)"
GI,phecode_514-2,Intestinal obstruction,"0.621 (0.606, 0.636)","0.625 (0.608, 0.643)","0.004 (-0.005, 0.015)"
GI,phecode_529-3,Fecal incontinence,"0.639 (0.626, 0.652)","0.642 (0.627, 0.657)","0.004 (-0.005, 0.014)"
GI,phecode_530,Disease of anus and rectum,"0.527 (0.518, 0.54)","0.53 (0.52, 0.544)","0.004 (-0.005, 0.013)"
GI,phecode_512,Dysphagia,"0.575 (0.567, 0.585)","0.578 (0.57, 0.59)","0.004 (-0.004, 0.012)"
Hearing,phecode_398,Other disorders of ear,"0.575 (0.563, 0.588)","0.579 (0.567, 0.595)","0.004 (-0.004, 0.011)"
Cardio,phecode_419,Presence of cardiac device,"0.738 (0.723, 0.755)","0.743 (0.727, 0.759)","0.004 (-0.003, 0.011)"
Cardio,phecode_444-5,Venous insufficiency (chronic) (peripheral),"0.662 (0.648, 0.676)","0.666 (0.654, 0.68)","0.004 (-0.002, 0.011)"
Cardio,phecode_446,Hypotension,"0.663 (0.655, 0.671)","0.667 (0.66, 0.674)","0.004 (-0.001, 0.011)"
GI,phecode_557,Gastrointestinal hemorrhage,"0.532 (0.525, 0.538)","0.536 (0.53, 0.544)","0.004 (-0.001, 0.01)"
Neoplasms,phecode_136-42,Benign neoplasm of rectum and anus,"0.594 (0.586, 0.605)","0.599 (0.589, 0.611)","0.004 (-0.001, 0.009)"
Cardio,phecode_440,Embolism and thrombosis,"0.597 (0.588, 0.605)","0.601 (0.594, 0.608)","0.004 (-0.001, 0.008)"
Mental,phecode_288-3,Generalized anxiety disorder,"0.593 (0.58, 0.609)","0.597 (0.585, 0.61)","0.004 (-0.001, 0.008)"
GI,phecode_528,Nausea and vomiting,"0.584 (0.577, 0.592)","0.588 (0.581, 0.594)","0.004 (-0.001, 0.007)"
Musc/Skel,phecode_708,Osteoarthritis,"0.612 (0.609, 0.616)","0.615 (0.612, 0.619)","0.003 (0.002, 0.004)"
Neoplasms,phecode_136,Benign neoplasm of the digestive organs,"0.589 (0.583, 0.593)","0.592 (0.586, 0.597)","0.003 (0.001, 0.006)"
GI,phecode_523,Diverticular disease [Bowel diverticulosis],"0.622 (0.616, 0.627)","0.625 (0.62, 0.63)","0.003 (0.001, 0.005)"
Musc/Skel,phecode_726-1,Osteoporosis,"0.746 (0.74, 0.753)","0.748 (0.743, 0.755)","0.003 (0.001, 0.005)"
Musc/Skel,phecode_708-1,Primary osteoarthritis,"0.611 (0.603, 0.617)","0.614 (0.607, 0.62)","0.003 (0.001, 0.005)"
GI,phecode_528-1,Nausea,"0.585 (0.576, 0.59)","0.588 (0.579, 0.594)","0.003 (0, 0.008)"
Genitourinary,phecode_583,Chronic kidney disease,"0.684 (0.677, 0.692)","0.688 (0.681, 0.693)","0.003 (0, 0.007)"
Mental,phecode_288,Anxiety disorders,"0.59 (0.584, 0.596)","0.593 (0.587, 0.598)","0.003 (0, 0.006)"
Neuro,phecode_354,Dizziness and giddiness,"0.571 (0.566, 0.576)","0.575 (0.569, 0.58)","0.003 (0, 0.006)"
ID,phecode_007,Hemophilus infection,"0.611 (0.572, 0.669)","0.615 (0.584, 0.66)","0.003 (-0.025, 0.035)"
ID,phecode_030,Campylobacter,"0.532 (0.516, 0.552)","0.535 (0.518, 0.555)","0.003 (-0.022, 0.019)"
Cardio,phecode_433-1,Occlusion and stenosis of cerebral arteries,"0.716 (0.693, 0.746)","0.719 (0.695, 0.739)","0.003 (-0.02, 0.019)"
GI,phecode_506-3,Sialoadenitis,"0.553 (0.53, 0.575)","0.555 (0.527, 0.582)","0.003 (-0.019, 0.023)"
Cardio,phecode_406,Chronic pulmonary heart disease,"0.741 (0.723, 0.758)","0.745 (0.726, 0.764)","0.003 (-0.012, 0.02)"
Cardio,phecode_447,Nonspecific low blood-pressure reading,"0.642 (0.623, 0.664)","0.646 (0.625, 0.668)","0.003 (-0.012, 0.016)"
Musc/Skel,phecode_715-3,Spondylolisthesis,"0.663 (0.638, 0.679)","0.665 (0.644, 0.682)","0.003 (-0.012, 0.015)"
Neoplasms,phecode_116-2,Secondary malignancy of respiratory organs,"0.632 (0.618, 0.646)","0.634 (0.616, 0.65)","0.003 (-0.01, 0.014)"
Genitourinary,phecode_597-1,Urethral stricture,"0.655 (0.631, 0.675)","0.657 (0.638, 0.678)","0.003 (-0.01, 0.013)"
Resp,phecode_479-6,Pulmonary collapse [Atelectasis],"0.646 (0.631, 0.666)","0.649 (0.635, 0.664)","0.003 (-0.009, 0.012)"
Blood,phecode_169-1,Thrombocytopenia,"0.667 (0.652, 0.683)","0.67 (0.656, 0.692)","0.003 (-0.008, 0.016)"
Genitourinary,phecode_586,Other disorders of the kidney and ureters,"0.644 (0.632, 0.653)","0.645 (0.637, 0.658)","0.003 (-0.008, 0.01)"
Cardio,phecode_423-1,Cardiac murmurs,"0.641 (0.623, 0.655)","0.644 (0.628, 0.66)","0.003 (-0.007, 0.015)"
Derm,phecode_682-12,Pilar and trichodermal cyst,"0.502 (0.491, 0.511)","0.506 (0.496, 0.513)","0.003 (-0.004, 0.013)"
Cardio,phecode_446-2,Orthostatic hypotension,"0.69 (0.677, 0.703)","0.692 (0.679, 0.706)","0.003 (-0.004, 0.01)"
Cardio,phecode_440-13,Phlebitis and thrombophlebitis,"0.583 (0.575, 0.593)","0.587 (0.575, 0.596)","0.003 (-0.003, 0.01)"
GI,phecode_507,Lesions of mouth,"0.565 (0.555, 0.576)","0.569 (0.556, 0.578)","0.003 (-0.003, 0.009)"
Genitourinary,phecode_627-1,Postmenopausal bleeding,"0.551 (0.542, 0.559)","0.553 (0.545, 0.562)","0.003 (-0.003, 0.008)"
Musc/Skel,phecode_708-7,Generalized osteoarthritis,"0.65 (0.643, 0.659)","0.654 (0.646, 0.661)","0.003 (-0.003, 0.008)"
Metab,phecode_230-2,Abnormal loss of weight and underweight,"0.608 (0.598, 0.617)","0.61 (0.602, 0.62)","0.003 (-0.003, 0.007)"
Metab,phecode_230-21,Abnormal weight loss,"0.612 (0.602, 0.621)","0.616 (0.606, 0.624)","0.003 (-0.002, 0.009)"
Neuro,phecode_329,Symptoms and signs involving cognitive functions and awareness,"0.644 (0.637, 0.652)","0.648 (0.64, 0.654)","0.003 (-0.002, 0.007)"
GI,phecode_528-2,Vomiting,"0.585 (0.576, 0.591)","0.588 (0.579, 0.595)","0.003 (-0.001, 0.008)"
Resp,phecode_465-2,Chronic Pharyngitis,"0.564 (0.558, 0.571)","0.567 (0.56, 0.574)","0.003 (-0.001, 0.008)"
Cardio,phecode_417-1,Palpitations,"0.577 (0.571, 0.584)","0.58 (0.574, 0.587)","0.003 (-0.001, 0.007)"
Musc/Skel,phecode_715,Non-inflammatory spondylopathy,"0.622 (0.615, 0.629)","0.625 (0.618, 0.633)","0.003 (-0.001, 0.007)"
ID,phecode_089-2,Viral infections,"0.528 (0.522, 0.532)","0.531 (0.525, 0.536)","0.003 (-0.001, 0.006)"
Musc/Skel,phecode_723,Enthesopathy/Enthesitis/Tendinopathy,"0.535 (0.529, 0.538)","0.538 (0.533, 0.542)","0.003 (-0.001, 0.006)"
Musc/Skel,phecode_727,Other disorders of bone,"0.71 (0.706, 0.716)","0.712 (0.708, 0.718)","0.002 (0.001, 0.003)"
Cardio,phecode_416-21,Atrial fibrillation,"0.731 (0.722, 0.737)","0.733 (0.725, 0.74)","0.002 (0, 0.006)"
GI,phecode_523-2,Diverticula of colon,"0.63 (0.625, 0.636)","0.632 (0.627, 0.638)","0.002 (0, 0.005)"
Neuro,phecode_331,Headache,"0.579 (0.571, 0.584)","0.581 (0.575, 0.585)","0.002 (0, 0.005)"
Musc/Skel,phecode_726,Osteoporosis and low bone density,"0.741 (0.734, 0.747)","0.743 (0.737, 0.748)","0.002 (0, 0.004)"
Signs/Symptoms,phecode_835,Cytology and pathology findings,"0.722 (0.713, 0.729)","0.723 (0.714, 0.73)","0.002 (0, 0.003)"
Neuro,phecode_330-3,Convulsions,"0.567 (0.546, 0.589)","0.568 (0.546, 0.586)","0.002 (-0.023, 0.018)"
Derm,phecode_667,Erythematous conditions,"0.555 (0.534, 0.57)","0.556 (0.54, 0.571)","0.002 (-0.017, 0.024)"
Musc/Skel,phecode_703-2,Chondrocalcinosis,"0.678 (0.649, 0.707)","0.68 (0.645, 0.711)","0.002 (-0.013, 0.015)"
Musc/Skel,phecode_700,Diffuse diseases of connective tissue,"0.63 (0.613, 0.652)","0.635 (0.613, 0.652)","0.002 (-0.012, 0.02)"
Resp,phecode_478,Aspiration pneumonia,"0.738 (0.719, 0.757)","0.74 (0.722, 0.758)","0.002 (-0.012, 0.018)"
Musc/Skel,phecode_734-9,Jaw pain,"0.589 (0.569, 0.61)","0.591 (0.57, 0.615)","0.002 (-0.012, 0.017)"
Resp,phecode_481,Interstitial pulmonary diseases,"0.729 (0.711, 0.744)","0.731 (0.715, 0.748)","0.002 (-0.011, 0.017)"
Musc/Skel,phecode_708-14,"Primary osteoarthritis of the shoulder, upper arm","0.605 (0.589, 0.62)","0.605 (0.59, 0.625)","0.002 (-0.011, 0.012)"
Genitourinary,phecode_581,Renal tubulo-interstitial diseases,"0.547 (0.533, 0.559)","0.549 (0.537, 0.562)","0.002 (-0.01, 0.015)"
Eye,phecode_367-13,Blepharoconjunctivitis,"0.637 (0.615, 0.673)","0.641 (0.617, 0.67)","0.002 (-0.01, 0.011)"
Musc/Skel,phecode_708-16,Primary osteoarthritis ankle and foot,"0.578 (0.566, 0.592)","0.579 (0.564, 0.595)","0.002 (-0.01, 0.01)"
GI,phecode_507-1,Stomatitis,"0.558 (0.545, 0.572)","0.558 (0.543, 0.573)","0.002 (-0.008, 0.011)"
GI,phecode_514,Gastrointestinal obstruction,"0.625 (0.613, 0.64)","0.626 (0.616, 0.642)","0.002 (-0.005, 0.01)"
Cardio,phecode_438,Aneurysm or ectasia,"0.718 (0.705, 0.73)","0.721 (0.708, 0.732)","0.002 (-0.005, 0.008)"
Musc/Skel,phecode_708-13,Primary osteoarthritis of the hand,"0.644 (0.633, 0.659)","0.646 (0.636, 0.66)","0.002 (-0.004, 0.009)"
Cardio,phecode_404-11,Acute myocardial infarction,"0.702 (0.693, 0.711)","0.704 (0.694, 0.713)","0.002 (-0.004, 0.008)"
GI,phecode_556-8,Nonspecific abnormal findings in stool contents,"0.56 (0.552, 0.568)","0.562 (0.554, 0.571)","0.002 (-0.003, 0.009)"
Hearing,phecode_392,Otalgia and effusion of ear,"0.56 (0.552, 0.568)","0.562 (0.555, 0.569)","0.002 (-0.003, 0.007)"
GI,phecode_556,Other symptoms involving the digestive system and abdomen,"0.557 (0.551, 0.564)","0.559 (0.552, 0.566)","0.002 (-0.003, 0.006)"
Musc/Skel,phecode_715-1,Spondylosis,"0.62 (0.611, 0.627)","0.622 (0.613, 0.629)","0.002 (-0.002, 0.006)"
Signs/Symptoms,phecode_841-1,Allergy to other anti-infective agents,"0.602 (0.595, 0.609)","0.604 (0.596, 0.611)","0.002 (-0.002, 0.006)"
Cardio,phecode_416-2,Atrial fibrillation and flutter,"0.731 (0.726, 0.736)","0.733 (0.728, 0.739)","0.002 (-0.001, 0.005)"
Eye,phecode_367-1,Conjunctivitis,"0.57 (0.563, 0.578)","0.571 (0.564, 0.579)","0.002 (-0.001, 0.005)"
Rx,phecode_969,Adverse effects of agents primarily affecting gastrointestinal system,"0.593 (0.587, 0.6)","0.595 (0.589, 0.601)","0.002 (-0.001, 0.005)"
Genitourinary,phecode_619-4,Noninflammatory disorders of vagina,"0.597 (0.589, 0.605)","0.598 (0.589, 0.607)","0.001 (0, 0.003)"
Genitourinary,phecode_627,Menopausal and postmenopausal disorders,"0.686 (0.681, 0.691)","0.687 (0.682, 0.692)","0.001 (0, 0.002)"
Hearing,phecode_396,Hearing impairment,"0.638 (0.633, 0.643)","0.638 (0.634, 0.643)","0.001 (0, 0.002)"
Hearing,phecode_390,Disorders of external ear,"0.559 (0.556, 0.564)","0.561 (0.557, 0.565)","0.001 (0, 0.002)"
Hearing,phecode_390-4,Impacted cerumen,"0.59 (0.585, 0.595)","0.591 (0.586, 0.596)","0.001 (0, 0.001)"
Neoplasms,phecode_106-2,Malignant neoplasm of the uterus,"0.556 (0.528, 0.578)","0.554 (0.529, 0.582)","0.001 (-0.026, 0.028)"
Signs/Symptoms,phecode_820,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity,"0.656 (0.628, 0.702)","0.657 (0.619, 0.698)","0.001 (-0.025, 0.022)"
GI,phecode_540,Hepatitis,"0.567 (0.531, 0.595)","0.569 (0.535, 0.599)","0.001 (-0.023, 0.022)"
Blood,phecode_176,Other diseases of blood and blood-forming organs,"0.569 (0.552, 0.59)","0.571 (0.548, 0.588)","0.001 (-0.02, 0.021)"
ID,phecode_009,Pseudomonas,"0.658 (0.63, 0.688)","0.661 (0.632, 0.689)","0.001 (-0.018, 0.024)"
Hearing,phecode_391-9,Otorrhea,"0.553 (0.529, 0.58)","0.553 (0.534, 0.58)","0.001 (-0.016, 0.023)"
Derm,phecode_676-2,Scar conditions and fibrosis of skin,"0.539 (0.518, 0.561)","0.539 (0.519, 0.566)","0.001 (-0.014, 0.021)"
Musc/Skel,phecode_707-8,Polyarthritis,"0.603 (0.58, 0.629)","0.602 (0.578, 0.631)","0.001 (-0.014, 0.015)"
Neoplasms,phecode_135,Benign neoplasm of the head and neck,"0.558 (0.542, 0.577)","0.559 (0.542, 0.573)","0.001 (-0.012, 0.014)"
Resp,phecode_471-2,Deviated nasal septum,"0.583 (0.566, 0.605)","0.584 (0.567, 0.607)","0.001 (-0.012, 0.013)"
GI,phecode_546,Other disorders of liver,"0.592 (0.576, 0.605)","0.592 (0.579, 0.607)","0.001 (-0.011, 0.015)"
Musc/Skel,phecode_734,Diseases of the jaws,"0.584 (0.565, 0.605)","0.585 (0.565, 0.604)","0.001 (-0.011, 0.013)"
Musc/Skel,phecode_710,Acquired deformities of limbs,"0.599 (0.583, 0.611)","0.6 (0.585, 0.613)","0.001 (-0.01, 0.012)"
Cardio,phecode_413-3,Tricuspid valve disorders,"0.738 (0.722, 0.748)","0.738 (0.723, 0.748)","0.001 (-0.01, 0.01)"
Neuro,phecode_331-61,Migraine with aura,"0.595 (0.576, 0.619)","0.598 (0.575, 0.62)","0.001 (-0.009, 0.017)"
Musc/Skel,phecode_714-3,Scoliosis,"0.693 (0.67, 0.712)","0.694 (0.676, 0.712)","0.001 (-0.009, 0.01)"
Cardio,phecode_440-1,Venous thromboembolism,"0.566 (0.554, 0.575)","0.566 (0.555, 0.574)","0.001 (-0.007, 0.006)"
Signs/Symptoms,phecode_848-2,Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echo),"0.697 (0.685, 0.709)","0.697 (0.685, 0.709)","0.001 (-0.006, 0.007)"
Endo,phecode_200-2,Goiter,"0.639 (0.625, 0.655)","0.641 (0.627, 0.655)","0.001 (-0.005, 0.008)"
Cardio,phecode_438-11,Abdominal aortic aneurysm,"0.822 (0.811, 0.834)","0.824 (0.81, 0.836)","0.001 (-0.005, 0.007)"
Cardio,phecode_431-2,Transient cerebral ischemic attacks,"0.677 (0.666, 0.69)","0.678 (0.667, 0.69)","0.001 (-0.005, 0.006)"
Musc/Skel,phecode_705,Rheumatoid arthritis and other inflammatory polyarthropathies,"0.619 (0.608, 0.628)","0.62 (0.61, 0.629)","0.001 (-0.004, 0.007)"
Genitourinary,phecode_603-6,Scrotal pain*,"0.804 (0.795, 0.813)","0.805 (0.796, 0.813)","0.001 (-0.004, 0.006)"
Musc/Skel,phecode_721-5,Bursitis,"0.535 (0.529, 0.542)","0.536 (0.529, 0.543)","0.001 (-0.004, 0.005)"
Neuro,phecode_329-1,Memory loss,"0.651 (0.643, 0.66)","0.652 (0.644, 0.663)","0.001 (-0.004, 0.005)"
Resp,phecode_487,Hemorrhage from respiratory passages,"0.587 (0.576, 0.597)","0.587 (0.576, 0.596)","0.001 (-0.004, 0.005)"
GI,phecode_511,Gastro-esophageal reflux disease,"0.561 (0.556, 0.566)","0.562 (0.556, 0.567)","0.001 (-0.003, 0.006)"
Neoplasms,phecode_112,Malignant neoplasm of other and ill-defined sites,"0.662 (0.655, 0.667)","0.663 (0.657, 0.669)","0.001 (-0.001, 0.003)"
Rx,phecode_977-51,Long term (current) use of hormonal contraceptives,"0.922 (0.916, 0.935)","0.923 (0.917, 0.936)","0.001 (-0.001, 0.002)"
GI,phecode_520-11,Inguinal hernia,"0.788 (0.783, 0.794)","0.788 (0.783, 0.794)","0 (0, 0.001)"
Genitourinary,phecode_593-3,Recurrent and persistent hematuria*,"0.547 (0.512, 0.59)","0.547 (0.517, 0.575)","0 (-0.037, 0.035)"
Blood,phecode_174-2,Splenomegaly,"0.617 (0.566, 0.665)","0.618 (0.582, 0.646)","0 (-0.032, 0.035)"
GI,phecode_520-15,Incisional hernia,"0.59 (0.565, 0.618)","0.59 (0.568, 0.614)","0 (-0.022, 0.022)"
GI,phecode_532-1,Intestinal fistula,"0.606 (0.579, 0.637)","0.606 (0.582, 0.63)","0 (-0.02, 0.015)"
Neuro,phecode_342,Plegia and unspecified paralysis,"0.56 (0.533, 0.58)","0.559 (0.534, 0.582)","0 (-0.019, 0.022)"
Cardio,phecode_433-21,Carotid artery stenosis,"0.734 (0.708, 0.758)","0.733 (0.712, 0.753)","0 (-0.018, 0.014)"
Derm,phecode_679-7,"Abnormal granulation tissue, NOS","0.649 (0.626, 0.671)","0.649 (0.62, 0.673)","0 (-0.017, 0.018)"
Cardio,phecode_433-2,Occlusion and stenosis of precerebral arteries,"0.738 (0.718, 0.76)","0.737 (0.715, 0.754)","0 (-0.015, 0.015)"
Endo,phecode_200-7,Iodine-deficiency related thyroid disorders*,"0.585 (0.569, 0.606)","0.586 (0.567, 0.602)","0 (-0.015, 0.014)"
Genitourinary,phecode_618-12,Rectocele,"0.558 (0.538, 0.578)","0.558 (0.54, 0.573)","0 (-0.011, 0.01)"
Hearing,phecode_396-22,Presbycusis,"0.7 (0.684, 0.72)","0.698 (0.683, 0.721)","0 (-0.01, 0.007)"
Neoplasms,phecode_139-5,Lipoma,"0.519 (0.51, 0.531)","0.52 (0.508, 0.532)","0 (-0.009, 0.01)"
Genitourinary,phecode_603,Disorders and symptoms of testis,"0.526 (0.514, 0.539)","0.527 (0.511, 0.538)","0 (-0.009, 0.009)"
Musc/Skel,phecode_717,Other and unspecified dorsopathies,"0.578 (0.563, 0.594)","0.578 (0.561, 0.592)","0 (-0.009, 0.009)"
Derm,phecode_670,Seborrheic keratosis,"0.622 (0.597, 0.64)","0.623 (0.599, 0.642)","0 (-0.009, 0.008)"
GI,phecode_522-8,Duodenitis,"0.598 (0.584, 0.613)","0.598 (0.586, 0.609)","0 (-0.009, 0.008)"
Eye,phecode_377,Hemorrhage of the eye,"0.587 (0.575, 0.597)","0.587 (0.575, 0.597)","0 (-0.008, 0.007)"
Musc/Skel,phecode_708-12,"Primary osteoarthritis of knee, lower leg","0.618 (0.605, 0.628)","0.618 (0.605, 0.627)","0 (-0.008, 0.006)"
Genitourinary,phecode_614-5,"Inflammatory disease of cervix, vagina, and vulva","0.562 (0.548, 0.577)","0.562 (0.55, 0.572)","0 (-0.007, 0.007)"
Genitourinary,phecode_615,Endometriosis,"0.734 (0.71, 0.756)","0.733 (0.711, 0.754)","0 (-0.007, 0.005)"
Resp,phecode_494,Voice disturbance,"0.595 (0.584, 0.608)","0.595 (0.585, 0.605)","0 (-0.007, 0.005)"
Cardio,phecode_416-211,Paroxysmal atrial fibrillation*,"0.683 (0.674, 0.695)","0.683 (0.674, 0.694)","0 (-0.007, 0.004)"
Genitourinary,phecode_614-55,Candidiasis of vulva and vagina,"0.763 (0.756, 0.773)","0.764 (0.757, 0.772)","0 (-0.006, 0.008)"
Neuro,phecode_331-1,Tension headache,"0.615 (0.603, 0.628)","0.615 (0.602, 0.629)","0 (-0.006, 0.007)"
Genitourinary,phecode_614,Inflammatory diseases of female pelvic organs,"0.564 (0.551, 0.573)","0.565 (0.553, 0.574)","0 (-0.005, 0.007)"
Musc/Skel,phecode_709-24,Hammer toe,"0.687 (0.671, 0.707)","0.687 (0.67, 0.705)","0 (-0.005, 0.006)"
Neoplasms,phecode_146-2,Benign neoplasm of the prostate,"0.647 (0.634, 0.66)","0.648 (0.634, 0.661)","0 (-0.005, 0.005)"
Cardio,phecode_438-1,Aortic aneurysm and ectasia,"0.788 (0.777, 0.797)","0.788 (0.778, 0.796)","0 (-0.005, 0.004)"
GI,phecode_529-1,Diarrhea,"0.544 (0.538, 0.551)","0.545 (0.538, 0.55)","0 (-0.005, 0.004)"
Musc/Skel,phecode_708-11,"Primary osteoarthritis of hip, pelvic region and thigh","0.657 (0.641, 0.674)","0.657 (0.642, 0.675)","0 (-0.004, 0.006)"
Cardio,phecode_418,Abnormal results of cardiovascular function studies,"0.66 (0.651, 0.666)","0.659 (0.651, 0.668)","0 (-0.004, 0.005)"
Genitourinary,phecode_594-2,Dysuria,"0.611 (0.603, 0.621)","0.611 (0.605, 0.62)","0 (-0.004, 0.004)"
Neoplasms,phecode_144-21,Leiomyoma of uterus,"0.709 (0.697, 0.72)","0.71 (0.697, 0.72)","0 (-0.004, 0.004)"
Neoplasms,phecode_144,Gynecological benign neoplasms,"0.649 (0.64, 0.661)","0.649 (0.638, 0.661)","0 (-0.004, 0.003)"
Derm,phecode_679-1,Rash and other nonspecific skin eruption,"0.533 (0.529, 0.538)","0.534 (0.53, 0.538)","0 (-0.003, 0.004)"
Rx,phecode_977-52,Hormone replacement therapy (postmenopausal),"0.749 (0.733, 0.764)","0.749 (0.734, 0.766)","0 (-0.003, 0.004)"
GI,phecode_520-2,Diaphragmatic hernia [Hiatal hernia],"0.603 (0.597, 0.612)","0.603 (0.596, 0.612)","0 (-0.003, 0.003)"
Genitourinary,phecode_626-14,Irregular menstrual bleeding,"0.871 (0.863, 0.878)","0.87 (0.863, 0.879)","0 (-0.003, 0.002)"
Musc/Skel,phecode_721,Synoviopathy and bursopathy,"0.535 (0.53, 0.54)","0.535 (0.53, 0.54)","0 (-0.003, 0.002)"
GI,phecode_529,Symptoms involving digestive system,"0.562 (0.558, 0.566)","0.562 (0.559, 0.566)","0 (-0.002, 0.003)"
Cardio,phecode_416,Cardiac arrhythmia and conduction disorders,"0.697 (0.692, 0.702)","0.698 (0.692, 0.701)","0 (-0.002, 0.002)"
Genitourinary,phecode_619,Noninflammatory female genital disorders,"0.581 (0.573, 0.588)","0.58 (0.574, 0.588)","0 (-0.002, 0.002)"
Neoplasms,phecode_146,Benign neoplasm of the genitourinary system,"0.834 (0.827, 0.841)","0.834 (0.828, 0.841)","0 (-0.002, 0.002)"
Neoplasms,phecode_142,Lump or mass in breast or nonspecific abnormal breast exam,"0.761 (0.756, 0.765)","0.76 (0.756, 0.765)","0 (-0.001, 0)"
Genitourinary,phecode_626-13,Irregular menstrual cycle,"0.889 (0.883, 0.895)","0.889 (0.883, 0.896)","0 (-0.001, 0.002)"
Genitourinary,phecode_626-1,Irregular menstrual cycle/bleeding,"0.877 (0.873, 0.885)","0.878 (0.874, 0.884)","0 (-0.001, 0.002)"
